       X           Y
 0.858781E+03 0.120168E+00    
 0.850164E+03 0.111028E+00    
 0.867407E+03 0.132346E+00    
 0.879504E+03 0.156687E+00    
 0.860516E+03 0.126249E+00    
 0.884650E+03 0.153664E+00    
 0.874306E+03 0.141481E+00    
 0.893276E+03 0.165843E+00    
 0.889839E+03 0.165832E+00    
 0.895072E+03 0.193190E+00    
 0.896765E+03 0.184081E+00    
 0.898561E+03 0.211428E+00    
 0.898622E+03 0.232694E+00    
 0.902102E+03 0.247895E+00    
 0.905573E+03 0.260057E+00    
 0.907335E+03 0.275252E+00    
 0.909097E+03 0.290448E+00    
 0.909131E+03 0.302600E+00    
 0.910884E+03 0.314757E+00    
 0.912646E+03 0.329952E+00    
 0.912707E+03 0.351218E+00    
 0.911032E+03 0.366403E+00    
 0.914504E+03 0.378565E+00    
 0.914565E+03 0.399831E+00    
 0.914617E+03 0.418059E+00    
 0.916396E+03 0.439330E+00    
 0.918175E+03 0.460602E+00    
 0.918245E+03 0.484906E+00    
 0.920015E+03 0.503139E+00    
 0.916631E+03 0.521357E+00    
 0.916692E+03 0.542623E+00    
 0.920172E+03 0.557823E+00    
 0.920241E+03 0.582127E+00    
 0.925448E+03 0.600371E+00    
 0.920293E+03 0.600355E+00    
 0.918627E+03 0.618578E+00    
 0.918662E+03 0.630730E+00    
 0.920415E+03 0.642887E+00    
 0.920485E+03 0.667191E+00    
 0.920467E+03 0.661115E+00    
 0.917101E+03 0.685409E+00    
 0.920520E+03 0.679343E+00    
 0.920546E+03 0.688457E+00    
 0.920624E+03 0.715799E+00    
 0.924008E+03 0.697581E+00    
 0.925848E+03 0.740119E+00    
 0.925918E+03 0.764423E+00    
 0.924269E+03 0.788722E+00    
 0.926040E+03 0.806955E+00    
 0.929546E+03 0.831269E+00    
 0.927880E+03 0.849492E+00    
 0.926248E+03 0.879867E+00    
 0.924582E+03 0.898090E+00    
 0.928123E+03 0.934556E+00    
 0.926353E+03 0.916323E+00    
 0.928167E+03 0.949746E+00    
 0.929929E+03 0.964941E+00    
 0.928254E+03 0.980126E+00    
 0.930033E+03 0.100140E+01    
 0.938624E+03 0.100142E+01    
 0.940273E+03 0.977125E+00    
 0.931786E+03 0.101355E+01    
 0.938502E+03 0.958891E+00    
 0.936854E+03 0.983190E+00    
 0.938485E+03 0.952815E+00    
 0.938372E+03 0.913321E+00    
 0.934866E+03 0.889007E+00    
 0.938233E+03 0.864713E+00    
 0.939899E+03 0.846491E+00    
 0.939794E+03 0.810035E+00    
 0.939733E+03 0.788768E+00    
 0.939655E+03 0.761426E+00    
 0.939577E+03 0.734084E+00    
 0.941208E+03 0.703710E+00    
 0.939429E+03 0.682438E+00    
 0.941077E+03 0.658140E+00    
 0.940973E+03 0.621684E+00    
 0.940895E+03 0.594342E+00    
 0.942526E+03 0.563967E+00    
 0.940729E+03 0.536620E+00    
 0.940616E+03 0.497126E+00    
 0.938820E+03 0.469778E+00    
 0.940477E+03 0.448518E+00    
 0.942108E+03 0.418143E+00    
 0.940329E+03 0.396872E+00    
 0.943670E+03 0.363464E+00    
 0.943600E+03 0.339160E+00    
 0.943522E+03 0.311818E+00    
 0.946880E+03 0.284486E+00    
 0.943374E+03 0.260172E+00    
 0.945040E+03 0.241949E+00    
 0.948407E+03 0.217656E+00    
 0.950038E+03 0.187281E+00    
 0.953414E+03 0.166025E+00    
 0.960208E+03 0.138704E+00    
 0.965294E+03 0.114416E+00    
 0.975551E+03 0.962190E-01    
 0.980671E+03 0.840827E-01    
 0.990971E+03 0.810760E-01    
 0.100128E+04 0.811073E-01    
 0.150338E+04 0.814785E+00    
 0.940160E+03 0.937631E+00    
 0.941834E+03 0.922446E+00    
 0.941747E+03 0.892066E+00    
 0.945027E+03 0.837392E+00    
 0.941521E+03 0.813078E+00    
 0.944879E+03 0.785746E+00    
 0.944784E+03 0.752328E+00    
 0.941260E+03 0.721938E+00    
 0.941138E+03 0.679406E+00    
 0.944488E+03 0.649036E+00    
 0.944401E+03 0.618656E+00    
 0.944279E+03 0.576124E+00    
 0.940756E+03 0.545734E+00    
 0.940669E+03 0.515354E+00    
 0.944001E+03 0.478908E+00    
 0.943931E+03 0.454604E+00    
 0.943818E+03 0.415110E+00    
 0.943705E+03 0.375616E+00    
 0.945293E+03 0.330051E+00    
 0.945153E+03 0.281443E+00    
 0.946732E+03 0.232840E+00    
 0.950047E+03 0.190319E+00    
 0.953336E+03 0.138683E+00    
 0.961796E+03 0.931393E-01    
 0.956694E+03 0.111352E+00    
 0.955036E+03 0.132612E+00    
 0.949951E+03 0.156901E+00    
 0.950038E+03 0.187281E+00    
 0.946698E+03 0.220688E+00    
 0.945127E+03 0.272329E+00    
 0.943574E+03 0.330046E+00    
 0.943714E+03 0.378654E+00    
 0.943844E+03 0.424224E+00    
 0.943983E+03 0.472832E+00    
 0.940703E+03 0.527506E+00    
 0.940825E+03 0.570038E+00    
 0.939246E+03 0.618640E+00    
 0.941086E+03 0.661178E+00    
 0.939481E+03 0.700666E+00    
 0.939629E+03 0.752312E+00    
 0.938067E+03 0.806991E+00    
 0.936514E+03 0.864708E+00    
 0.935040E+03 0.949767E+00    
 0.935196E+03 0.100445E+01    
 0.931525E+03 0.922414E+00    
 0.920955E+03 0.831243E+00    
 0.919088E+03 0.779592E+00    
 0.917248E+03 0.737055E+00    
 0.917179E+03 0.712751E+00    
 0.920728E+03 0.752255E+00    
 0.922473E+03 0.761374E+00    
 0.166282E+04 0.891930E-01    
 0.940133E+03 0.928517E+00    
 0.938346E+03 0.904207E+00    
 0.939864E+03 0.834338E+00    
 0.970396E+03 0.962034E-01    
 0.989279E+03 0.901848E-01    
 0.997888E+03 0.962869E-01    
 0.101162E+04 0.902526E-01    
 0.989279E+03 0.901848E-01    
 0.101847E+04 0.841975E-01    
 0.103218E+04 0.720873E-01    
 0.104247E+04 0.660426E-01    
 0.105452E+04 0.721551E-01    
 0.104593E+04 0.721290E-01    
 0.102875E+04 0.751148E-01    
 0.101675E+04 0.841923E-01    
 0.105967E+04 0.721708E-01    
 0.107168E+04 0.661313E-01    
 0.109229E+04 0.631560E-01    
 0.110600E+04 0.480077E-01    
 0.109916E+04 0.601389E-01    
 0.108026E+04 0.600814E-01    
 0.105624E+04 0.721604E-01    
 0.102875E+04 0.751148E-01    
 0.100819E+04 0.932802E-01    
 0.103906E+04 0.721082E-01    
 0.107340E+04 0.661366E-01    
 0.110261E+04 0.662253E-01    
 0.114557E+04 0.663558E-01    
 0.113179E+04 0.541620E-01    
 0.111287E+04 0.480286E-01    
 0.111458E+04 0.449958E-01    
 0.112316E+04 0.419839E-01    
 0.112834E+04 0.511136E-01    
 0.115239E+04 0.481487E-01    
 0.117643E+04 0.421457E-01    
 0.118674E+04 0.452151E-01    
 0.121077E+04 0.361741E-01    
 0.122454E+04 0.422919E-01    
 0.125889E+04 0.393583E-01    
 0.133965E+04 0.396036E-01    
 0.132418E+04 0.365187E-01    
 0.130700E+04 0.395045E-01    
 0.128638E+04 0.364038E-01    
 0.126919E+04 0.363516E-01    
 0.125717E+04 0.363151E-01    
 0.124001E+04 0.453769E-01    
 0.122108E+04 0.362055E-01    
 0.120735E+04 0.422397E-01    
 0.118674E+04 0.452151E-01    
 0.117644E+04 0.482217E-01    
 0.115583E+04 0.481591E-01    
 0.113864E+04 0.481069E-01    
 0.133793E+04 0.395984E-01    
 0.131388E+04 0.395253E-01    
 0.127950E+04 0.363829E-01    
 0.125717E+04 0.393531E-01    
 0.123138E+04 0.301608E-01    
 0.120735E+04 0.422397E-01    
 0.118331E+04 0.452046E-01    
 0.117129E+04 0.482061E-01    
 0.115927E+04 0.512075E-01    
 0.114552E+04 0.481278E-01    
 0.133449E+04 0.395880E-01    
 0.130010E+04 0.303696E-01    
 0.126402E+04 0.302600E-01    
 0.124169E+04 0.332301E-01    
 0.121592E+04 0.331518E-01    
 0.118158E+04 0.421614E-01    
 0.116612E+04 0.421144E-01    
 0.114382E+04 0.541986E-01    
 0.112832E+04 0.419996E-01    
 0.110772E+04 0.510509E-01    
 0.108371E+04 0.661679E-01    
 0.106311E+04 0.721812E-01    
 0.103222E+04 0.842393E-01    
 0.101677E+04 0.902683E-01    
