"New 3DF.spc - RawData"
"Wavelength nm.","Abs."
450.00,0.861
450.50,0.861
451.00,0.862
451.50,0.862
452.00,0.863
452.50,0.863
453.00,0.864
453.50,0.865
454.00,0.866
454.50,0.867
455.00,0.868
455.50,0.869
456.00,0.870
456.50,0.872
457.00,0.873
457.50,0.874
458.00,0.876
458.50,0.877
459.00,0.879
459.50,0.880
460.00,0.882
460.50,0.883
461.00,0.885
461.50,0.886
462.00,0.888
462.50,0.889
463.00,0.890
463.50,0.892
464.00,0.893
464.50,0.894
465.00,0.895
465.50,0.895
466.00,0.896
466.50,0.896
467.00,0.897
467.50,0.897
468.00,0.897
468.50,0.896
469.00,0.896
469.50,0.895
470.00,0.894
470.50,0.893
471.00,0.892
471.50,0.890
472.00,0.889
472.50,0.887
473.00,0.885
473.50,0.883
474.00,0.880
474.50,0.878
475.00,0.875
475.50,0.872
476.00,0.869
476.50,0.866
477.00,0.863
477.50,0.860
478.00,0.857
478.50,0.853
479.00,0.850
479.50,0.846
480.00,0.843
480.50,0.839
481.00,0.836
481.50,0.833
482.00,0.829
482.50,0.826
483.00,0.823
483.50,0.820
484.00,0.817
484.50,0.814
485.00,0.811
485.50,0.808
486.00,0.805
486.50,0.803
487.00,0.800
487.50,0.798
488.00,0.796
488.50,0.794
489.00,0.792
489.50,0.790
490.00,0.789
490.50,0.787
491.00,0.786
491.50,0.785
492.00,0.784
492.50,0.783
493.00,0.782
493.50,0.781
494.00,0.781
494.50,0.780
495.00,0.780
495.50,0.780
496.00,0.780
496.50,0.780
497.00,0.780
497.50,0.781
498.00,0.781
498.50,0.782
499.00,0.783
499.50,0.783
500.00,0.784
500.50,0.785
501.00,0.786
501.50,0.788
502.00,0.789
502.50,0.790
503.00,0.791
503.50,0.793
504.00,0.794
504.50,0.796
505.00,0.797
505.50,0.798
506.00,0.800
506.50,0.801
507.00,0.802
507.50,0.804
508.00,0.805
508.50,0.806
509.00,0.807
509.50,0.808
510.00,0.809
510.50,0.810
511.00,0.811
511.50,0.811
512.00,0.812
512.50,0.812
513.00,0.813
513.50,0.813
514.00,0.814
514.50,0.814
515.00,0.814
515.50,0.814
516.00,0.814
516.50,0.814
517.00,0.814
517.50,0.814
518.00,0.814
518.50,0.813
519.00,0.813
519.50,0.813
520.00,0.812
520.50,0.812
521.00,0.811
521.50,0.810
522.00,0.810
522.50,0.809
523.00,0.808
523.50,0.807
524.00,0.806
524.50,0.805
525.00,0.804
525.50,0.803
526.00,0.802
526.50,0.801
527.00,0.800
527.50,0.799
528.00,0.798
528.50,0.796
