"New 24DF.spc - RawData"
"Wavelength nm.","Abs."
648.00,0.086
648.50,0.087
649.00,0.087
649.50,0.087
650.00,0.087
650.50,0.087
651.00,0.087
651.50,0.087
652.00,0.088
652.50,0.088
653.00,0.088
653.50,0.088
654.00,0.088
654.50,0.088
655.00,0.088
655.50,0.088
656.00,0.089
656.50,0.089
657.00,0.089
657.50,0.089
658.00,0.089
658.50,0.089
659.00,0.089
659.50,0.089
660.00,0.089
660.50,0.089
661.00,0.090
661.50,0.090
662.00,0.090
662.50,0.090
663.00,0.090
663.50,0.090
664.00,0.090
664.50,0.090
665.00,0.090
665.50,0.090
666.00,0.090
666.50,0.090
667.00,0.090
667.50,0.090
668.00,0.090
668.50,0.090
669.00,0.090
669.50,0.089
670.00,0.089
670.50,0.089
671.00,0.089
671.50,0.089
672.00,0.089
672.50,0.089
673.00,0.088
673.50,0.088
674.00,0.088
674.50,0.088
675.00,0.087
675.50,0.087
676.00,0.087
676.50,0.087
677.00,0.086
677.50,0.086
678.00,0.086
678.50,0.086
679.00,0.085
679.50,0.085
680.00,0.085
680.50,0.084
681.00,0.084
681.50,0.084
682.00,0.084
682.50,0.083
683.00,0.083
683.50,0.083
684.00,0.083
684.50,0.082
685.00,0.082
685.50,0.082
686.00,0.082
686.50,0.081
687.00,0.081
687.50,0.081
688.00,0.081
688.50,0.080
689.00,0.080
689.50,0.080
690.00,0.080
690.50,0.079
691.00,0.079
691.50,0.079
692.00,0.078
692.50,0.078
693.00,0.078
693.50,0.078
694.00,0.077
694.50,0.077
695.00,0.077
695.50,0.077
696.00,0.076
696.50,0.076
697.00,0.076
697.50,0.076
698.00,0.075
698.50,0.075
699.00,0.075
699.50,0.075
700.00,0.074
700.50,0.074
701.00,0.074
701.50,0.073
702.00,0.073
702.50,0.073
703.00,0.073
703.50,0.073
704.00,0.072
704.50,0.072
705.00,0.072
705.50,0.072
706.00,0.071
706.50,0.071
707.00,0.071
707.50,0.071
708.00,0.071
708.50,0.070
709.00,0.070
709.50,0.070
710.00,0.070
710.50,0.070
711.00,0.069
711.50,0.069
712.00,0.069
712.50,0.069
713.00,0.069
713.50,0.069
714.00,0.068
714.50,0.068
715.00,0.068
715.50,0.068
716.00,0.068
716.50,0.068
717.00,0.068
717.50,0.068
718.00,0.068
718.50,0.068
719.00,0.068
719.50,0.067
720.00,0.067
720.50,0.067
721.00,0.067
721.50,0.067
722.00,0.067
722.50,0.067
723.00,0.067
723.50,0.067
724.00,0.067
724.50,0.067
725.00,0.067
725.50,0.067
726.00,0.067
726.50,0.067
727.00,0.067
727.50,0.067
728.00,0.066
728.50,0.066
729.00,0.066
729.50,0.066
730.00,0.066
730.50,0.066
731.00,0.066
731.50,0.066
732.00,0.066
732.50,0.066
733.00,0.066
733.50,0.066
734.00,0.066
734.50,0.066
735.00,0.066
735.50,0.066
736.00,0.066
736.50,0.066
737.00,0.066
737.50,0.066
738.00,0.066
738.50,0.066
739.00,0.066
739.50,0.066
740.00,0.066
740.50,0.066
741.00,0.066
741.50,0.066
742.00,0.066
742.50,0.066
743.00,0.066
743.50,0.066
744.00,0.066
744.50,0.065
745.00,0.065
745.50,0.065
746.00,0.065
746.50,0.065
747.00,0.065
747.50,0.065
748.00,0.065
748.50,0.065
749.00,0.065
749.50,0.065
750.00,0.065
750.50,0.065
751.00,0.065
751.50,0.065
752.00,0.065
752.50,0.064
753.00,0.064
753.50,0.064
754.00,0.064
754.50,0.064
755.00,0.064
755.50,0.064
756.00,0.064
756.50,0.064
757.00,0.064
757.50,0.064
758.00,0.064
758.50,0.064
759.00,0.064
759.50,0.064
760.00,0.064
760.50,0.064
761.00,0.064
761.50,0.064
762.00,0.064
762.50,0.064
763.00,0.064
763.50,0.064
764.00,0.064
764.50,0.063
765.00,0.063
765.50,0.063
766.00,0.063
766.50,0.063
767.00,0.063
767.50,0.063
768.00,0.063
768.50,0.063
769.00,0.063
769.50,0.063
770.00,0.063
770.50,0.063
771.00,0.063
771.50,0.063
772.00,0.063
772.50,0.063
773.00,0.062
773.50,0.062
774.00,0.062
774.50,0.062
775.00,0.062
775.50,0.062
776.00,0.062
776.50,0.062
777.00,0.062
777.50,0.062
778.00,0.062
778.50,0.062
779.00,0.062
779.50,0.062
780.00,0.062
780.50,0.062
781.00,0.062
781.50,0.062
782.00,0.062
782.50,0.062
783.00,0.062
783.50,0.062
784.00,0.062
784.50,0.062
785.00,0.062
785.50,0.062
786.00,0.062
786.50,0.062
787.00,0.062
787.50,0.062
788.00,0.062
788.50,0.062
789.00,0.062
789.50,0.062
790.00,0.062
790.50,0.062
791.00,0.062
791.50,0.062
792.00,0.062
792.50,0.062
793.00,0.062
793.50,0.062
794.00,0.062
794.50,0.062
795.00,0.062
795.50,0.062
796.00,0.062
796.50,0.062
797.00,0.062
797.50,0.062
798.00,0.062
798.50,0.062
799.00,0.062
799.50,0.062
800.00,0.062
800.50,0.062
801.00,0.062
801.50,0.062
802.00,0.062
802.50,0.062
803.00,0.062
803.50,0.062
804.00,0.062
804.50,0.062
805.00,0.063
805.50,0.063
806.00,0.063
806.50,0.063
807.00,0.063
807.50,0.063
808.00,0.063
808.50,0.063
809.00,0.063
809.50,0.063
810.00,0.063
810.50,0.063
811.00,0.063
811.50,0.063
812.00,0.063
812.50,0.063
813.00,0.064
813.50,0.064
814.00,0.064
814.50,0.064
815.00,0.064
815.50,0.064
816.00,0.064
816.50,0.064
817.00,0.064
817.50,0.064
818.00,0.064
818.50,0.064
819.00,0.065
819.50,0.065
820.00,0.065
820.50,0.065
821.00,0.065
821.50,0.065
822.00,0.065
822.50,0.065
823.00,0.065
823.50,0.065
824.00,0.065
824.50,0.066
825.00,0.066
825.50,0.066
826.00,0.066
826.50,0.066
827.00,0.066
827.50,0.066
828.00,0.066
828.50,0.066
829.00,0.067
829.50,0.067
830.00,0.067
830.50,0.067
831.00,0.067
831.50,0.067
832.00,0.067
832.50,0.067
833.00,0.068
833.50,0.068
834.00,0.068
834.50,0.068
835.00,0.068
835.50,0.068
836.00,0.068
836.50,0.068
837.00,0.068
837.50,0.068
838.00,0.069
838.50,0.069
839.00,0.069
839.50,0.069
840.00,0.069
840.50,0.069
841.00,0.069
841.50,0.069
842.00,0.069
842.50,0.069
843.00,0.070
843.50,0.070
844.00,0.070
844.50,0.070
845.00,0.070
845.50,0.070
846.00,0.070
846.50,0.070
847.00,0.070
847.50,0.071
848.00,0.071
848.50,0.071
849.00,0.071
849.50,0.071
850.00,0.071
850.50,0.071
851.00,0.072
851.50,0.072
852.00,0.072
852.50,0.072
853.00,0.072
853.50,0.072
854.00,0.073
854.50,0.073
855.00,0.073
855.50,0.073
856.00,0.073
856.50,0.073
857.00,0.073
857.50,0.074
858.00,0.074
858.50,0.074
859.00,0.075
859.50,0.075
860.00,0.075
860.50,0.075
861.00,0.075
861.50,0.075
862.00,0.075
862.50,0.076
863.00,0.076
863.50,0.076
864.00,0.077
864.50,0.077
865.00,0.077
865.50,0.077
866.00,0.077
866.50,0.077
867.00,0.078
867.50,0.078
868.00,0.078
868.50,0.079
869.00,0.079
869.50,0.079
870.00,0.079
870.50,0.080
871.00,0.080
871.50,0.080
872.00,0.081
872.50,0.081
873.00,0.081
873.50,0.082
874.00,0.082
874.50,0.082
875.00,0.082
875.50,0.082
876.00,0.083
876.50,0.083
877.00,0.082
877.50,0.083
878.00,0.083
878.50,0.084
879.00,0.084
879.50,0.083
880.00,0.083
880.50,0.083
881.00,0.083
881.50,0.083
882.00,0.083
882.50,0.083
883.00,0.083
883.50,0.083
884.00,0.083
884.50,0.083
885.00,0.083
885.50,0.082
886.00,0.082
886.50,0.082
887.00,0.082
887.50,0.082
888.00,0.082
888.50,0.082
889.00,0.082
889.50,0.082
890.00,0.082
890.50,0.082
891.00,0.083
891.50,0.083
892.00,0.083
892.50,0.083
893.00,0.082
893.50,0.083
894.00,0.083
894.50,0.083
895.00,0.083
895.50,0.083
896.00,0.083
896.50,0.083
897.00,0.083
897.50,0.082
898.00,0.082
898.50,0.081
899.00,0.082
899.50,0.082
900.00,0.082
900.50,0.081
901.00,0.081
901.50,0.081
902.00,0.081
902.50,0.080
903.00,0.080
903.50,0.081
904.00,0.082
904.50,0.082
905.00,0.083
905.50,0.084
906.00,0.083
906.50,0.082
907.00,0.081
907.50,0.082
908.00,0.082
908.50,0.082
909.00,0.082
909.50,0.083
910.00,0.082
910.50,0.082
911.00,0.082
911.50,0.083
912.00,0.082
912.50,0.082
913.00,0.083
913.50,0.083
914.00,0.084
914.50,0.083
915.00,0.081
