"Original 1.5DF.spc - RawData"
"Wavelength nm.","Abs."
647.50,0.218
648.00,0.218
648.50,0.219
649.00,0.219
649.50,0.219
650.00,0.220
650.50,0.220
651.00,0.221
651.50,0.221
652.00,0.222
652.50,0.222
653.00,0.222
653.50,0.223
654.00,0.223
654.50,0.224
655.00,0.224
655.50,0.224
656.00,0.225
656.50,0.225
657.00,0.225
657.50,0.225
658.00,0.226
658.50,0.226
659.00,0.226
659.50,0.226
660.00,0.226
660.50,0.227
661.00,0.227
661.50,0.227
662.00,0.227
662.50,0.227
663.00,0.227
663.50,0.227
664.00,0.227
664.50,0.227
665.00,0.227
665.50,0.227
666.00,0.227
666.50,0.227
667.00,0.227
667.50,0.227
668.00,0.227
668.50,0.226
669.00,0.226
669.50,0.226
670.00,0.226
670.50,0.225
671.00,0.225
671.50,0.225
672.00,0.224
672.50,0.224
673.00,0.223
673.50,0.223
674.00,0.223
674.50,0.222
675.00,0.222
675.50,0.221
676.00,0.221
676.50,0.220
677.00,0.219
677.50,0.219
678.00,0.218
678.50,0.218
679.00,0.217
679.50,0.216
680.00,0.216
680.50,0.215
681.00,0.214
681.50,0.214
682.00,0.213
682.50,0.212
683.00,0.212
683.50,0.211
684.00,0.210
684.50,0.210
685.00,0.209
685.50,0.208
686.00,0.208
686.50,0.207
687.00,0.206
687.50,0.206
688.00,0.205
688.50,0.204
689.00,0.204
689.50,0.203
690.00,0.202
690.50,0.201
691.00,0.201
691.50,0.200
692.00,0.199
692.50,0.199
693.00,0.198
693.50,0.197
694.00,0.197
694.50,0.196
695.00,0.195
695.50,0.194
696.00,0.194
696.50,0.193
697.00,0.192
697.50,0.192
698.00,0.191
698.50,0.190
699.00,0.190
699.50,0.189
700.00,0.189
700.50,0.188
701.00,0.187
701.50,0.187
702.00,0.186
702.50,0.186
703.00,0.185
703.50,0.184
704.00,0.184
704.50,0.183
705.00,0.183
705.50,0.182
706.00,0.182
706.50,0.181
707.00,0.181
707.50,0.180
708.00,0.180
708.50,0.180
709.00,0.179
709.50,0.179
710.00,0.178
710.50,0.178
711.00,0.178
711.50,0.177
712.00,0.177
712.50,0.176
713.00,0.176
713.50,0.176
714.00,0.175
714.50,0.175
715.00,0.175
715.50,0.175
716.00,0.174
716.50,0.174
717.00,0.174
717.50,0.174
718.00,0.173
718.50,0.173
719.00,0.173
719.50,0.173
720.00,0.172
720.50,0.172
721.00,0.172
721.50,0.172
722.00,0.172
722.50,0.171
723.00,0.171
723.50,0.171
724.00,0.171
724.50,0.171
725.00,0.171
725.50,0.170
726.00,0.170
726.50,0.170
727.00,0.170
727.50,0.170
728.00,0.170
728.50,0.170
729.00,0.169
729.50,0.169
730.00,0.169
730.50,0.169
731.00,0.169
731.50,0.169
732.00,0.169
732.50,0.169
733.00,0.169
733.50,0.168
734.00,0.168
734.50,0.168
735.00,0.168
735.50,0.168
736.00,0.168
736.50,0.168
737.00,0.168
737.50,0.168
738.00,0.168
738.50,0.167
739.00,0.167
739.50,0.167
740.00,0.167
740.50,0.167
741.00,0.167
741.50,0.167
742.00,0.167
742.50,0.167
743.00,0.167
743.50,0.166
744.00,0.166
744.50,0.166
745.00,0.166
745.50,0.166
746.00,0.166
746.50,0.166
747.00,0.166
747.50,0.165
748.00,0.165
748.50,0.165
749.00,0.165
749.50,0.165
750.00,0.165
750.50,0.165
751.00,0.165
751.50,0.165
752.00,0.164
752.50,0.164
753.00,0.164
753.50,0.164
