"Original 48DF.spc - RawData"
"Wavelength nm.","Abs."
450.00,0.003
450.50,0.003
451.00,0.003
451.50,0.003
452.00,0.003
452.50,0.003
453.00,0.003
453.50,0.003
454.00,0.003
454.50,0.003
455.00,0.003
455.50,0.003
456.00,0.003
456.50,0.003
457.00,0.003
457.50,0.003
458.00,0.003
458.50,0.003
459.00,0.003
459.50,0.003
460.00,0.003
460.50,0.003
461.00,0.003
461.50,0.003
462.00,0.003
462.50,0.004
463.00,0.004
463.50,0.003
464.00,0.003
464.50,0.003
465.00,0.003
465.50,0.004
466.00,0.004
466.50,0.004
467.00,0.004
467.50,0.004
468.00,0.004
468.50,0.004
469.00,0.004
469.50,0.004
470.00,0.004
470.50,0.004
471.00,0.004
471.50,0.004
472.00,0.004
472.50,0.004
473.00,0.004
473.50,0.004
474.00,0.003
474.50,0.003
475.00,0.003
475.50,0.003
476.00,0.003
476.50,0.003
477.00,0.003
477.50,0.003
478.00,0.003
478.50,0.003
479.00,0.003
479.50,0.003
480.00,0.003
480.50,0.003
481.00,0.003
481.50,0.003
482.00,0.003
482.50,0.003
483.00,0.003
483.50,0.003
484.00,0.003
484.50,0.003
485.00,0.003
485.50,0.003
486.00,0.003
486.50,0.003
487.00,0.003
487.50,0.003
488.00,0.003
488.50,0.003
489.00,0.003
489.50,0.003
490.00,0.003
490.50,0.003
491.00,0.003
491.50,0.003
492.00,0.003
492.50,0.003
493.00,0.003
493.50,0.003
494.00,0.003
494.50,0.003
495.00,0.003
495.50,0.003
496.00,0.003
496.50,0.003
497.00,0.003
497.50,0.003
498.00,0.003
498.50,0.003
499.00,0.003
499.50,0.003
500.00,0.003
500.50,0.003
501.00,0.003
501.50,0.003
502.00,0.003
502.50,0.003
503.00,0.003
503.50,0.003
504.00,0.003
504.50,0.003
505.00,0.003
505.50,0.003
506.00,0.003
506.50,0.003
507.00,0.003
507.50,0.003
508.00,0.003
508.50,0.003
509.00,0.003
509.50,0.003
510.00,0.003
510.50,0.003
511.00,0.003
511.50,0.003
512.00,0.003
512.50,0.003
513.00,0.003
513.50,0.003
514.00,0.003
514.50,0.003
515.00,0.003
515.50,0.003
516.00,0.003
516.50,0.003
517.00,0.003
517.50,0.003
518.00,0.003
518.50,0.003
519.00,0.003
519.50,0.003
520.00,0.003
520.50,0.003
521.00,0.003
521.50,0.003
522.00,0.003
522.50,0.003
523.00,0.003
523.50,0.003
524.00,0.003
524.50,0.003
525.00,0.003
525.50,0.003
526.00,0.003
526.50,0.003
527.00,0.003
527.50,0.003
528.00,0.003
528.50,0.003
529.00,0.003
529.50,0.003
530.00,0.003
530.50,0.003
531.00,0.003
531.50,0.003
532.00,0.003
532.50,0.003
533.00,0.003
533.50,0.003
534.00,0.003
534.50,0.003
535.00,0.003
535.50,0.003
536.00,0.003
536.50,0.003
537.00,0.003
537.50,0.003
538.00,0.003
538.50,0.003
539.00,0.003
539.50,0.003
540.00,0.002
540.50,0.002
541.00,0.002
541.50,0.002
