LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
636	11340.38471	4.5364E-6	20142.09932	0.00872	881.8043	5.83401E-14	1.07154E-12
	11323.51253	4.25167E-6	18905.98984	0.00818	883.1182	5.45158E-14	1.00689E-12
	11306.68664	3.62219E-6	16130.81904	0.00698	884.4324	4.63065E-14	8.59624E-13
	11289.90941	3.5499E-6	15832.38059	0.00685	885.7467	4.52477E-14	8.39696E-13
	11273.17808	4.1955E-6	18739.48717	0.00811	887.0613	5.33183E-14	9.926E-13
	11256.495	4.35986E-6	19502.50514	0.00844	888.376	5.52432E-14	1.03972E-12
	11239.85743	3.89431E-6	17445.776	0.00755	889.691	4.91985E-14	9.38516E-13
	11223.26646	3.4863E-6	15641.06443	0.00677	891.0062	4.3914E-14	8.43978E-13
	11206.72314	3.09351E-6	13899.33871	0.00602	892.3215	3.88516E-14	7.47778E-13
	11190.22476	2.9928E-6	13466.63998	0.00583	893.6371	3.74761E-14	7.22283E-13
	11173.77239	3.30492E-6	14892.97141	0.00645	894.9529	4.12629E-14	7.93966E-13
	11157.36583	3.29777E-6	14882.64195	0.00644	896.2689	4.10529E-14	7.86096E-13
	11141.00614	2.94519E-6	13310.958	0.00576	897.585	3.65563E-14	6.9712E-13
	11124.69065	2.854E-6	12917.75033	0.00559	898.9014	3.53208E-14	6.72755E-13
	11108.4204	2.90431E-6	13164.71257	0.0057	900.218	3.58383E-14	6.85927E-13
	11092.19399	2.83839E-6	12884.7237	0.00558	901.5349	3.49226E-14	6.73856E-13
	11076.01491	2.73663E-6	12440.92987	0.00539	902.8518	3.35724E-14	6.5104E-13
	11059.87807	2.48111E-6	11295.79667	0.00489	904.1691	3.03492E-14	5.87989E-13
	11043.78696	1.9788E-6	9022.05956	0.00391	905.4865	2.41345E-14	4.67867E-13
	11027.74017	1.44821E-6	6612.49018	0.00286	906.8041	1.76118E-14	3.41806E-13
	11011.73752	1.04549E-6	4780.62941	0.00207	908.1219	1.26774E-14	2.44213E-13
	10995.77883	1.02685E-6	4702.22176	0.00204	909.4399	1.24154E-14	2.37429E-13
	10979.86271	1.14244E-6	5239.12737	0.00227	910.7582	1.3773E-14	2.62525E-13
	10963.9914	9.10225E-7	4180.23801	0.00181	912.0766	1.09417E-14	2.07158E-13
	10948.16231	9.59275E-7	4411.86724	0.00191	913.3953	1.14981E-14	2.16872E-13
	10932.37767	1.54497E-6	7115.82315	0.00308	914.7141	1.8465E-14	3.49157E-13
	10916.6349	2.30725E-6	10642.07487	0.00461	916.0332	2.74962E-14	5.17364E-13
