NMINDEX	E11	DE11	E22	DE22	Shape	E11Exc	E11Par	Profile	LaserWL	LaserRatio	NONBASISINDEX	Version	LPower	Weight	Int636	Exc636	Int671	Exc671	Int783	Exc783	Int532	Exc532	Sens
NM List	cm^-1	cm^-1	cm^-1	cm^-1	Shape Factor	E11 exc probability	E11 exc Offset and Width	Profile factor	Laser Wavelength (nm)	Relative Laser Power	Excluded NM	Software Version	Laser Power (mW)	Abundance	Solution laser # 0	Exc Probability Laser # 0	Solution laser # 1	Exc Probability Laser # 1	Solution laser # 2	Exc Probability Laser # 2	Solution laser # 3	Exc Probability Laser # 3	Sensitivity
6,4	11185.47013	248.67503	17262.77709	491.10377	0.27949	0.14658	1700	0.288	636	1	7,0	2.57 (20100929)	94.04176	14.69093	2.40231	0.16352	2.18456	0.146	3.51197	0.22623	3.61155	0.43044	6.79
9,1	10790.67362	233.79605	14349.70441	436.03357	0.3637	0.14489	300	0.09527	671	2.15174	6,1		38.71597	11.38187	4.21359	0.3702	6.29561	0.31812	4.24526	0.18702	3.17063	0.20241	7.72
8,3	10386.01794	176.14629	14972.89334	597.58062	0.28741	0.13946		0.10613	783	1.76584	6,2		98.65373	65.95345	24.6478	0.37372	99.2761	1.11987	13.97484	0.16264	12.84427	0.255	6.84
6,5	10145.23759	239.03142	17698.39011	472.12468	0.32864	0.15679		0.12685	532	0.16863	5,3		14.87466	546.11789	81.77286	0.14973	77.75869	0.14025	77.03353	0.13607	103.52263	0.31555	4.82
7,3	9752.78991	284.82595	19698.80291	661.86162	0.21539	0.14818					5,4			239.55423	33.71877	0.14076	33.19754	0.13721	32.97436	0.13418	61.91135	0.27291	5.12
7,5	9639.14035	203.91119	15479.33036	783.6429	0.63197	0.07561					8,0			53.54482	50.08832	0.93545	26.18145	0.48789	8.75206	0.1626	11.72967	0.32221	5.27
8,1	9484.72217	149.37368	20920.00325	754.22774	0.33811	0.06849					7,2			63.16867	8.72786	0.13817	8.64175	0.13576	8.55562	0.1327	10.40861	0.17485	3.35
10,2	9315.01043	248.03605	13507.05024	320.97441	0.33556	0.0741					10,0			62.85405	16.34699	0.26008	19.20836	0.3347	19.77058	0.18269	17.2547	0.22438	7.85
9,4	8983.28443	227.0141	13755.13171	405.56814	0.43668	0.07598					11,0			37.46098	14.06465	0.37545	13.53251	0.29486	13.684	0.17984	16.92863	0.24793	5.11
8,4	8840.43939	236.20401	16927.41794	820.69168	0.70756	0.08427					11,1			49.38514	12.99543	0.26314	9.36153	0.18741	7.69433	0.14626	13.90999	0.48468	3.68
7,6	8737.38015	249.24233	15381.72927	689.4609	0.94127	0.08843					13,0			30.12707	21.48267	0.71307	15.91839	0.50784	4.90369	0.15642	7.85017	0.30164	3.29
9,2	8474.58649	238.41307	17772.5267	682.0391	0.49915	0					14,0			48.8272	8.25071	0.16898	7.54924	0.15144	7.04629	0.13679	12.47958	0.40462	3.46
12,1	8690.25433	309.52226	12337.37544	281.40652	0.39206	0					13,2			13.43706	3.26166	0.24274	1.97368	0.19548	3.2696	0.24817	1.87099	0.13836	7.77
8,6	8279.00679	208.44437	13594.97268	347.55108	0.65632	0					12,4			16.05195	4.76182	0.29665	5.17792	0.31285	5.43069	0.17991	5.76592	0.23901	3.79
11,3	8099.4371	199.04636	12322.07512	304.70772	0.30478	0					10,8			7.69902	1.88811	0.24524	1.13515	0.20187	1.94248	0.25982	1.07348	0.13954	6.94
9,5	7947.9259	219.62277	14796.9727	476.62241	0.43745	0					14,1			3.57675	1.06826	0.29867	5.30357	0.99883	0.77559	0.14899	0.74039	0.21603	3.58
10,3	7892.20282	197.409	15777.349	575.43137	0.42721	0					13,3			0	0	1.13521	0	0.24679	0	0.14352	0	0.27808	3.09
10,5	7891.34584	182.65685	12629.73019	405.70911	0.245	0					12,5			0.74858	0.18015	0.24066	0.1828	0.28002	1.01513	0.82981	0.16377	0.15411	4.8
8,7	7725.47694	199.26333	13616.71578	397.88452	0.35586	0					11,7			8.66773	2.80511	0.32363	3.05469	0.3274	3.30167	0.19197	3.55037	0.24445	3.59
9,7	7459.21059	181.69244	12434.81803	302.37252	0.31158	0					10,9			0	0	0.23978	0	0.20997	0	0.32018	0	0.14106	3.89
11,4	7539.89053	189.92273	13826.63878	444.78808	0.39288	0					16,0			6.18585	2.53161	0.40926	2.2169	0.29934	2.14838	0.18244	2.13907	0.2473	2.73
12,2	7308.7554	180.01337	14494.35025	640.61274	0.45341	0					15,1			0.3532	0.14452	0.40918	0.36219	0.58664	0.11422	0.17632	0.09645	0.24142	2.67
10,6	7338.27054	207.92127	13147.19198	407.7233	0.38554	0					15,2			1.62866	0.38408	0.23583	0.99951	0.43538	0.98568	0.37307	0.3663	0.18629	2.9
11,6	7128.54628	194.93957	11609.24752	553.01001	0.31383	0					14,3			0	0	0.22673	0	0.28032	0	0.36233	0	0.14455	2.73
9,8	7019.42276	190.32524	12293.94377	427.55713	0.31045	0					14,4			0	0	0.25983	0	0.23995	0	0.34343	0	0.14718	2.15
											13,5												
											13,6												
											12,7												
											12,8												
											11,9												
											11,10												
