A	B
181.98439	-24.49009
183.42168	-24.51387
184.8586	-24.53173
186.29514	-25.04161
187.73132	-25.28148
189.16713	-23.40322
190.60257	-20.90058
192.03764	-21.19258
193.47234	-23.96791
194.90667	-25.20969
196.34064	-22.59754
197.77423	-18.84565
199.20746	-17.76537
200.64031	-19.32899
202.0728	-19.61739
203.50492	-18.30193
204.93667	-17.79764
206.36805	-19.77476
207.79907	-20.99308
209.22971	-20.33184
210.65999	-18.8621
212.0899	-17.39804
213.51944	-15.21963
214.94862	-12.85994
216.37742	-12.35751
217.80586	-12.85845
219.23393	-13.3812
220.66164	-12.94286
222.08898	-12.76458
223.51595	-12.8193
224.94255	-12.75417
226.36878	-10.19985
227.79465	-6.11034
229.22016	-3.17422
230.64529	-4.06605
232.07006	-6.69346
233.49447	-9.04402
234.9185	-8.54623
236.34217	-5.8852
237.76548	-3.36653
239.18842	-3.89462
240.61099	-5.84726
242.0332	-6.77264
243.45504	-6.16279
244.87652	-5.67443
246.29763	-5.91
247.71837	-6.5212
249.13875	-6.58529
250.55877	-6.01435
251.97842	-5.4568
253.3977	-5.21099
254.81662	-5.24816
256.23518	-5.07584
257.65337	-4.72038
259.07119	-4.06056
260.48865	-3.32192
261.90575	-1.63048
263.32248	2.11808
264.73885	6.56683
266.15486	9.676
267.5705	10.51973
268.98578	11.02799
270.40069	11.55085
271.81524	11.69903
273.22942	10.5048
274.64325	8.02653
276.05671	4.74863
277.4698	1.94735
278.88254	1.33492
280.29491	2.91028
281.70691	4.78635
283.11856	5.2791
284.52984	5.10401
285.94076	5.63211
287.35131	6.58067
288.76151	7.07983
290.17134	7.06177
291.58081	7.35051
292.98992	7.44789
294.39866	6.42919
295.80705	3.2999
297.21507	0.33974
298.62273	-0.38721
300.03002	1.86772
301.43696	4.23594
302.84354	5.94846
304.24975	6.73243
305.6556	7.35284
307.0611	6.87974
308.46623	5.48083
309.871	3.68681
311.2754	2.88409
312.67945	3.58292
314.08314	4.70772
315.48647	4.81211
316.88943	3.44142
318.29204	2.11923
319.69429	2.40165
321.09617	4.44385
322.4977	6.74132
323.89886	7.75191
325.29967	7.85243
326.70012	7.51269
328.1002	6.46773
329.49993	4.49707
330.8993	3.17253
332.29831	3.45166
333.69696	3.86585
335.09525	3.42105
336.49318	2.78321
337.89075	2.8892
339.28797	3.45137
340.68482	3.87206
342.08132	3.99444
343.47746	4.00435
344.87323	4.8445
346.26866	5.9723
347.66372	6.6889
349.05842	6.83023
350.45277	7.22232
351.84676	7.85009
353.24039	8.50847
354.63366	8.4856
356.02658	7.83347
357.41914	7.46839
358.81134	8.48218
360.20318	9.49825
361.59467	9.31142
362.9858	8.00527
364.37657	7.35071
365.76698	7.88577
367.15704	9.22198
368.54674	10.1232
369.93609	9.92601
371.32507	8.4147
372.71371	6.46007
374.10198	5.19228
375.4899	5.48845
376.87746	6.33199
378.26467	7.5916
379.65152	8.79461
381.03802	9.82171
382.42415	9.2841
383.80994	8.34264
385.19537	7.62119
386.58044	7.14768
387.96516	5.97802
389.34952	5.30885
390.73352	6.33782
392.11718	8.10861
393.50047	8.45714
394.88341	7.52958
396.266	7.977
397.64823	10.28471
399.03011	12.13047
400.41164	11.99709
401.7928	11.35083
403.17362	11.2947
404.55408	12.03633
405.93418	12.5326
407.31394	12.72413
408.69334	11.82439
410.07238	11.48746
411.45107	11.61513
412.82941	12.06431
414.20739	11.257
415.58502	10.4412
416.9623	9.93733
418.33922	10.37275
419.71579	11.47251
421.09201	13.05548
422.46787	13.55112
423.84339	12.97067
425.21855	11.95126
426.59335	11.69774
427.96781	12.13607
429.34191	13.92478
430.71566	15.3782
432.08905	14.88857
433.4621	12.29741
434.83479	10.84493
436.20713	12.33104
437.57912	15.59235
438.95075	17.81736
440.32204	17.64705
441.69297	16.02279
443.06356	14.99654
444.43379	15.68496
445.80367	17.11605
447.17319	17.14746
448.54237	15.63927
449.9112	14.53284
451.27967	14.88013
452.6478	15.49945
454.01557	15.43193
455.38299	16.11078
456.75006	17.07007
458.11679	16.95952
459.48316	14.63666
460.84918	12.48849
462.21485	11.45195
463.58017	12.17279
464.94514	13.01068
466.30976	13.87708
467.67403	13.81038
469.03796	14.08741
470.40153	14.54908
471.76475	15.92652
473.12762	16.23254
474.49015	15.65689
475.85232	15.18005
477.21415	16.26445
478.57563	17.15766
479.93675	17.32193
481.29753	18.14101
482.65796	19.50648
484.01804	18.97402
485.37778	16.26851
486.73716	13.8256
488.0962	13.06341
489.45489	13.42168
490.81323	14.49324
492.17122	15.51935
493.52886	16.36523
494.88616	17.16114
496.24311	18.2379
497.59971	18.84918
498.95596	19.40418
500.31187	19.41642
501.66742	18.35904
503.02263	16.50735
504.3775	16.53439
505.73201	18.36569
507.08618	20.06467
508.44001	20.54737
509.79348	21.03002
511.14661	21.53077
512.49939	20.95094
513.85183	19.77144
515.20392	18.16309
516.55566	16.63899
517.90706	15.36813
519.25811	16.19128
520.60881	17.71199
521.95917	18.87702
523.30918	18.8302
524.65885	18.68957
526.00817	18.2908
527.35715	18.02055
528.70578	17.61963
530.05406	16.41709
531.402	15.01503
532.74959	14.75934
534.09684	16.10694
535.44374	17.22394
536.7903	17.88183
538.13652	17.8895
539.48239	17.81283
540.82791	18.0057
542.17309	18.91676
543.51792	19.36073
544.86242	18.59168
546.20656	18.20228
547.55036	19.11208
548.89382	20.99161
550.23694	21.50045
551.57971	20.36593
552.92213	18.31887
554.26422	18.11868
555.60596	19.90869
556.94735	22.2131
558.2884	22.46792
559.62911	20.75938
560.96948	19.05563
562.3095	19.15884
563.64918	20.30103
564.98851	20.42557
566.32751	19.90916
567.66616	19.8729
569.00446	20.63068
570.34243	20.45469
571.68005	19.19904
573.01733	17.51767
574.35427	17.20835
575.69086	18.96326
577.02712	21.94344
578.36303	24.27564
579.6986	24.95154
581.03382	23.95179
582.36871	21.73422
583.70325	19.99517
585.03745	20.15347
586.37131	21.24548
587.70483	21.44163
589.03801	20.69642
590.37085	20.38671
591.70334	20.56817
593.0355	20.68312
594.36731	20.69278
595.69878	21.78829
597.02991	23.46665
598.3607	24.01478
599.69115	22.42205
601.02126	20.84183
602.35103	20.955
603.68046	23.1365
605.00955	25.5791
606.3383	26.77065
607.66671	25.08657
608.99477	22.24284
610.3225	20.70407
611.64989	21.66832
612.97694	22.48226
614.30365	21.69327
615.63002	19.94902
616.95605	19.46374
618.28174	20.4828
619.60709	22.13785
620.9321	22.18783
622.25678	21.11642
623.58111	20.47043
624.90511	22.10624
626.22876	23.87313
627.55208	25.24498
628.87506	25.34392
630.1977	24.62057
631.52001	22.64847
632.84197	21.59402
634.1636	21.99424
635.48488	22.65729
636.80583	22.41465
638.12644	22.46374
639.44672	23.62775
640.76665	25.09356
642.08625	25.58502
643.40551	25.61252
644.72444	24.93523
646.04302	24.08696
647.36127	22.87996
648.67918	22.68695
649.99676	22.33058
651.31399	22.01481
652.63089	21.05877
653.94746	20.7828
655.26368	20.85141
656.57957	22.07181
657.89512	23.53519
659.21034	24.8922
660.52522	25.094
661.83976	24.46022
663.15397	23.10905
664.46784	22.02337
665.78138	22.36612
667.09458	23.79858
668.40744	24.22417
669.71997	22.92532
671.03216	22.583
672.34401	24.11442
673.65553	25.54335
674.96672	24.95331
676.27757	23.95551
677.58808	23.57511
678.89826	23.68601
680.2081	23.50758
681.51761	23.76418
682.82679	24.07646
684.13563	23.99451
685.44413	23.44264
686.7523	24.01969
688.06014	24.91923
689.36764	25.12887
690.6748	25.12446
691.98163	26.26566
693.28813	26.29727
694.5943	23.79988
695.90012	21.36419
697.20562	21.85512
698.51078	24.24862
699.81561	25.53278
701.1201	26.38187
702.42426	26.99198
703.72809	26.68677
705.03159	23.57061
706.33475	21.81593
707.63757	23.49362
708.94007	27.08439
710.24223	27.54356
711.54406	25.5258
712.84555	23.59454
714.14671	23.7229
715.44754	25.02579
716.74804	26.72691
718.0482	27.45688
719.34803	26.31729
720.64753	24.092
721.9467	23.17383
723.24554	23.38213
724.54404	22.55237
725.84221	21.01555
727.14005	21.93436
728.43756	25.21054
729.73473	26.94246
731.03158	25.49094
732.32809	23.59311
733.62427	23.19844
734.92012	23.85437
736.21564	24.67662
737.51082	25.53487
738.80568	25.26354
740.1002	23.56797
741.3944	22.26209
742.68826	23.23269
743.98179	24.68152
745.27499	24.18339
746.56786	22.6487
747.8604	23.13464
749.15261	25.22942
750.44449	26.63726
751.73604	26.51012
753.02726	25.99484
754.31815	25.1591
755.60871	23.89719
756.89894	23.21678
758.18883	24.29894
759.4784	26.15607
760.76764	26.5401
762.05655	25.14954
763.34513	24.22551
764.63339	24.95714
765.92131	26.05859
767.2089	25.60904
768.49616	24.42541
769.7831	24.26432
771.0697	25.79587
772.35598	26.57334
773.64193	25.51241
