A	FIT	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25
11340.38471	0.00104	7.23822E-4	2.60517E-5	1.95312E-5	1.58604E-4	4.01739E-5	1.62095E-5	4.2358E-6	9.81236E-6	8.83981E-6	1.17099E-5	7.68611E-6	5.40666E-6	9.12386E-7	2.6486E-6	0	0	0	0	0	0	0	0	0	0	0
11323.51253	0.0012	8.80152E-4	2.78318E-5	2.0258E-5	1.63328E-4	4.10555E-5	1.65424E-5	4.31374E-6	9.98051E-6	8.96916E-6	1.18704E-5	7.78808E-6	5.46912E-6	9.24538E-7	2.67814E-6	0	0	0	0	0	0	0	0	0	0	0
11306.68664	0.00139	0.00106	2.9806E-5	2.10009E-5	1.68047E-4	4.19667E-5	1.68727E-5	4.39386E-6	1.01451E-5	9.10138E-6	1.20343E-5	7.88732E-6	5.53558E-6	9.3624E-7	2.70818E-6	0	0	0	0	0	0	0	0	0	0	0
11289.90941	0.0016	0.00126	3.20045E-5	2.18125E-5	1.73205E-4	4.29087E-5	1.72131E-5	4.47623E-6	1.03219E-5	9.23654E-6	1.22016E-5	7.99333E-6	5.60029E-6	9.48165E-7	2.73873E-6	0	0	0	0	0	0	0	0	0	0	0
11273.17808	0.0018	0.00144	3.44641E-5	2.26438E-5	1.78365E-4	4.38829E-5	1.75775E-5	4.56093E-6	1.05034E-5	9.36892E-6	1.23648E-5	8.09653E-6	5.66917E-6	9.61042E-7	2.7686E-6	0	0	0	0	0	0	0	0	0	0	0
11256.495	0.00199	0.00163	3.71023E-5	2.3554E-5	1.8376E-4	4.48909E-5	1.79395E-5	4.64562E-6	1.06812E-5	9.51011E-6	1.25391E-5	8.20679E-6	5.73624E-6	9.73446E-7	2.80018E-6	0	0	0	0	0	0	0	0	0	0	0
11239.85743	0.00217	0.00179	4.02119E-5	2.44885E-5	1.89668E-4	4.58784E-5	1.83128E-5	4.7352E-6	1.08723E-5	9.64843E-6	1.27092E-5	8.31416E-6	5.80452E-6	9.86093E-7	2.8323E-6	0	1.91647E-7	0	0	0	0	0	0	0	0	0
11223.26646	0.00231	0.00192	4.37486E-5	2.548E-5	1.95591E-4	4.69567E-5	1.86979E-5	4.82741E-6	1.10595E-5	9.79602E-6	1.28908E-5	8.42365E-6	5.87721E-6	9.98988E-7	2.86371E-6	0	1.93581E-7	0	0	0	0	0	0	0	0	0
11206.72314	0.00242	0.00201	4.77995E-5	2.65333E-5	2.01798E-4	4.80736E-5	1.90953E-5	4.91967E-6	1.12517E-5	9.94066E-6	1.30682E-5	8.54069E-6	5.94802E-6	1.01214E-6	2.89565E-6	0	1.95545E-7	0	0	0	0	0	0	0	0	0
11190.22476	0.00247	0.00205	5.22581E-5	2.76537E-5	2.08307E-4	4.91692E-5	1.95054E-5	5.01459E-6	1.14584E-5	1.00885E-5	1.32576E-5	8.65469E-6	6.02013E-6	1.02555E-6	2.92944E-6	0	1.97539E-7	0	0	0	0	0	0	0	0	0
