POSITION	HEIGHT	NM	AMPLITUDE
Peak Position	Label Y	Peak Label	Peak Amplitude
10145.23759	0.52928	6,5	0.46582
9752.78991	0.52928	7,3	0.17621
10386.01794	0.52928	8,3	0.11676
9315.01043	0.52928	10,2	0.11478
8983.28443	0.52928	9,4	0.08254
9484.72217	0.52928	8,1	0.08254
8474.58649	0.52928	9,2	0.03923
8840.43939	0.52928	8,4	0.03888
8279.00679	0.52928	8,6	0.03178
10790.67362	0.52928	9,1	0.02591
7725.47694	0.52928	8,7	0.02363
11185.47013	0.52928	6,4	0.02092
7539.89053	0.52928	11,4	0.0159
8690.25433	0.52928	12,1	0.01484
8099.4371	0.52928	11,3	0.01433
7891.34584	0.52928	10,5	0.00835
7338.27054	0.52928	10,6	0.00666
