LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
671	11340.38471	1.29244E-5	57385.68211	0.02484	881.8043	1.66213E-13	3.05287E-12
	11323.51253	1.30561E-5	58056.82499	0.02513	883.1182	1.67408E-13	3.09198E-12
	11306.68664	1.36814E-5	60928.06849	0.02638	884.4324	1.74905E-13	3.2469E-12
	11289.90941	1.38176E-5	61625.68974	0.02668	885.7467	1.76122E-13	3.26842E-12
	11273.17808	1.30569E-5	58319.39293	0.02525	887.0613	1.65932E-13	3.08908E-12
	11256.495	1.21509E-5	54353.28342	0.02353	888.376	1.53962E-13	2.8977E-12
	11239.85743	1.1236E-5	50335.1853	0.02179	889.691	1.41949E-13	2.70784E-12
	11223.26646	1.03873E-5	46602.13746	0.02017	891.0062	1.30841E-13	2.51461E-12
	11206.72314	9.97813E-6	44832.32692	0.01941	892.3215	1.25316E-13	2.41196E-12
	11190.22476	9.63333E-6	43346.94466	0.01877	893.6371	1.2063E-13	2.32491E-12
	11173.77239	9.08674E-6	40947.65595	0.01773	894.9529	1.13451E-13	2.18298E-12
	11157.36583	8.60231E-6	38821.67706	0.01681	896.2689	1.07087E-13	2.05055E-12
	11141.00614	8.31746E-6	37591.29575	0.01627	897.585	1.03238E-13	1.96873E-12
	11124.69065	8.0925E-6	36628.17872	0.01586	898.9014	1.00152E-13	1.90759E-12
	11108.4204	7.83811E-6	35528.75727	0.01538	900.218	9.672E-14	1.85117E-12
	11092.19399	7.89155E-6	35823.29928	0.01551	901.5349	9.70951E-14	1.87352E-12
	11076.01491	8.12363E-6	36930.67643	0.01599	902.8518	9.96591E-14	1.9326E-12
	11059.87807	8.24055E-6	37516.85142	0.01624	904.1691	1.00799E-13	1.95289E-12
	11043.78696	8.45052E-6	38528.84843	0.01668	905.4865	1.03067E-13	1.99803E-12
	11027.74017	8.96784E-6	40947.00596	0.01773	906.8041	1.09059E-13	2.11659E-12
	11011.73752	9.59908E-6	43892.92265	0.019	908.1219	1.16397E-13	2.24222E-12
	10995.77883	1.0299E-5	47161.60943	0.02042	909.4399	1.24522E-13	2.38132E-12
	10979.86271	1.14354E-5	52441.37678	0.0227	910.7582	1.37862E-13	2.62776E-12
	10963.9914	1.27143E-5	58390.899	0.02528	912.0766	1.52838E-13	2.89364E-12
	10948.16231	1.39223E-5	64031.12963	0.02772	913.3953	1.66876E-13	3.14755E-12
	10932.37767	1.55878E-5	71794.25631	0.03108	914.7141	1.863E-13	3.52278E-12
	10916.6349	1.78584E-5	82371.05578	0.03566	916.0332	2.12824E-13	4.00446E-12
	10900.93503	2.01236E-5	92953.02001	0.04024	917.3525	2.3913E-13	4.44029E-12
	10885.27906	2.19937E-5	101737.0495	0.04404	918.6719	2.60602E-13	4.77398E-12
	10869.66446	2.33282E-5	108065.37675	0.04678	919.9916	2.75622E-13	4.98918E-12
	10854.09224	2.41148E-5	111869.30999	0.04843	921.3115	2.841E-13	5.12588E-12
	10838.56339	2.46876E-5	114690.43444	0.04965	922.6315	2.90016E-13	5.26225E-12
	10823.0754	2.51011E-5	116778.47503	0.05055	923.9518	2.94032E-13	5.36773E-12
