POSITION	HEIGHT	NM	AMPLITUDE
Peak Position	Label Y	Peak Label	Peak Amplitude
10386.01794	1.02	8,3	1.01068
10145.23759	1.02	6,5	0.57297
9752.78991	1.02	7,3	0.21617
9315.01043	1.02	10,2	0.13589
9484.72217	1.02	8,1	0.10159
8983.28443	1.02	9,4	0.09947
8737.38015	1.02	7,6	0.08766
8474.58649	1.02	9,2	0.05121
10790.67362	1.02	9,1	0.04682
7947.9259	1.02	9,5	0.04029
8279.00679	1.02	8,6	0.03693
7725.47694	1.02	8,7	0.02664
7539.89053	1.02	11,4	0.01999
11185.47013	1.02	6,4	0.01586
8099.4371	1.02	11,3	0.01021
7338.27054	1.02	10,6	0.00823
7019.42276	1.02	9,8	0
