WAVELENGTH	ABS
nm	Abs
1311.347	0.03789
1312.727	0.03692
1314.106	0.03687
1315.486	0.03782
1316.866	0.03883
1318.246	0.0386
1319.626	0.03774
1321.007	0.03765
1322.388	0.03841
1323.769	0.0389
1325.15	0.03878
1326.531	0.03873
1327.913	0.03887
1329.295	0.03877
1330.677	0.03845
1332.059	0.03833
1333.441	0.03854
1334.824	0.03911
1336.207	0.03889
1337.59	0.038
1338.973	0.03842
1340.356	0.03925
1341.74	0.03994
1343.124	0.04144
1344.508	0.04207
1345.892	0.04115
1347.277	0.04092
1348.661	0.04122
1350.046	0.04095
1351.431	0.04065
1352.817	0.04063
1354.202	0.04116
1355.588	0.04243
1356.974	0.04353
1358.36	0.04405
1359.746	0.04464
1361.132	0.04452
1362.519	0.04371
1363.906	0.04398
1365.293	0.04416
1366.681	0.04239
1368.068	0.04095
1369.456	0.043
1370.844	0.04775
1372.232	0.05031
1373.62	0.04942
1375.009	0.04987
1376.398	0.05154
1377.787	0.04893
1379.176	0.0422
1380.565	0.04074
1381.955	0.03998
1383.344	0.03237
1384.734	0.03025
1386.125	0.0318
1387.515	0.03151
1388.906	0.02892
1390.297	0.02943
1391.687	0.02716
1393.079	0.01253
1394.47	0.01614
1395.862	0.04071
1397.254	0.04612
1398.646	0.04246
1400.038	0.0425
1401.43	0.02972
1402.823	0.02146
1404.216	0.02902
1405.609	0.03336
1407.002	0.02797
1408.396	0.02341
1409.789	0.02441
1411.183	0.03156
1412.577	0.03953
1413.972	0.03739
1415.366	0.02766
1416.761	0.03303
1418.156	0.04768
1419.551	0.04918
1420.946	0.05526
1422.342	0.06317
1423.738	0.04477
1425.133	0.02391
1426.53	0.01937
1427.926	0.04052
1429.323	0.09688
1430.719	0.09862
1432.116	0.04056
1433.513	0.02488
1434.911	0.04737
1436.308	0.05427
1437.706	0.02588
1439.104	0.01887
1440.502	0.05611
1441.901	0.07031
1443.299	0.03923
1444.698	0.03044
1446.097	0.05061
1447.496	0.03884
1448.896	0.02906
1450.295	0.04815
1451.695	0.04721
1453.095	0.05235
1454.495	0.09328
1455.896	0.09226
1457.297	0.04304
1458.698	0.01714
1460.099	0.02016
1461.5	0.03127
1462.901	0.03513
1464.303	0.03215
1465.705	0.02149
1467.107	0.02154
1468.509	0.04163
1469.912	0.04414
1471.314	0.03055
1472.717	0.03428
1474.12	0.06116
1475.524	0.04281
1476.927	-0.00621
1478.331	-0.00158
1479.735	0.04165
1481.139	0.06766
1482.543	0.05182
1483.948	0.02883
1485.353	0.03703
1486.758	0.04217
1488.163	0.01958
1489.568	-0.00639
1490.974	-0.03455
1492.38	-0.02205
1493.786	0.03528
1495.192	0.05636
1496.598	0.05711
1498.005	0.03991
1499.412	-0.02089
1500.819	-0.06018
1502.226	-0.04665
1503.633	-0.02824
1505.041	-0.02924
1506.449	-0.01327
1507.857	0.02157
1509.265	0.04136
1510.673	0.05743
1512.082	0.05562
1513.491	0.04491
1514.9	0.04814
1516.309	0.06576
1517.719	0.07589
1519.128	0.05224
1520.538	0.01566
1521.948	-0.00144
1523.359	0.01965
1524.769	0.05962
1526.18	0.06535
1527.591	0.0105
1529.002	-0.03121
1530.413	0.00166
1531.825	0.0323
1533.236	0.04022
1534.648	0.05408
1536.06	0.03921
1537.473	0.00997
1538.885	0.02224
1540.298	0.02852
1541.711	0.0315
1543.124	0.02825
1544.538	-0.01248
1545.951	-0.03177
1547.365	-0.00904
1548.779	0.02318
1550.193	0.03626
1551.608	0.03745
1553.022	0.06601
1554.437	0.07125
1555.852	0.02022
1557.267	-0.00302
1558.682	0.0266
1560.098	0.02917
1561.514	-0.02887
1562.93	-0.04398
1564.346	0.00452
1565.763	0.02293
1567.179	0.04035
1568.596	0.03791
1570.013	-0.00159
1571.431	-0.0019
1572.848	0.04843
1574.266	0.05831
1575.683	0.01259
1577.102	0.002
1578.52	0.03634
1579.938	0.05753
