A	B
857	0.0511
858	0.05042
859	0.04939
860	0.04924
861	0.04945
862	0.05082
863	0.04899
864	0.05049
865	0.04972
866	0.04843
867	0.04965
868	0.04933
869	0.04894
870	0.05058
871	0.05132
872	0.05179
873	0.05168
874	0.05138
875	0.05273
876	0.05205
877	0.05268
878	0.0523
879	0.05214
880	0.05018
881	0.05085
882	0.05045
883	0.0497
884	0.05177
885	0.05109
886	0.04945
887	0.05135
888	0.05145
889	0.05085
890	0.05118
891	0.04978
892	0.05098
893	0.05013
894	0.04964
895	0.04991
896	0.05078
897	0.05213
898	0.05064
899	0.05004
900	0.05229
