LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
783	11340.38471	1.35683E-5	60244.64795	0.02608	881.8043	1.74494E-13	3.20497E-12
	11323.51253	1.37846E-5	61296.03709	0.02654	883.1182	1.76748E-13	3.26449E-12
	11306.68664	1.35978E-5	60555.47954	0.02621	884.4324	1.73836E-13	3.22705E-12
	11289.90941	1.34415E-5	59948.66617	0.02595	885.7467	1.71329E-13	3.17948E-12
	11273.17808	1.35645E-5	60586.86766	0.02623	887.0613	1.72384E-13	3.20919E-12
	11256.495	1.30622E-5	58429.57899	0.02529	888.376	1.65509E-13	3.11501E-12
	11239.85743	1.21986E-5	54647.23962	0.02366	889.691	1.5411E-13	2.93981E-12
	11223.26646	1.17006E-5	52494.16256	0.02272	891.0062	1.47383E-13	2.83254E-12
	11206.72314	1.12087E-5	50361.23895	0.0218	892.3215	1.4077E-13	2.70941E-12
	11190.22476	1.06954E-5	48125.6967	0.02083	893.6371	1.33928E-13	2.58122E-12
	11173.77239	1.02016E-5	45971.77146	0.0199	894.9529	1.27371E-13	2.45082E-12
	11157.36583	9.49558E-6	42852.93868	0.01855	896.2689	1.18207E-13	2.26348E-12
	11141.00614	8.93794E-6	40395.55707	0.01749	897.585	1.10939E-13	2.11559E-12
	11124.69065	8.72823E-6	39505.61051	0.0171	898.9014	1.08019E-13	2.05745E-12
	11108.4204	8.63121E-6	39123.71814	0.01694	900.218	1.06507E-13	2.03848E-12
	11092.19399	8.60248E-6	39050.52436	0.01691	901.5349	1.05842E-13	2.0423E-12
	11076.01491	8.72031E-6	39643.25598	0.01716	902.8518	1.06979E-13	2.07455E-12
	11059.87807	8.76234E-6	39892.45224	0.01727	904.1691	1.07182E-13	2.07655E-12
	11043.78696	8.82797E-6	40249.7884	0.01742	905.4865	1.07671E-13	2.08728E-12
	11027.74017	9.04928E-6	41318.86718	0.01789	906.8041	1.10049E-13	2.13581E-12
	11011.73752	9.32259E-6	42628.63093	0.01845	908.1219	1.13044E-13	2.17763E-12
	10995.77883	9.91301E-6	45394.1715	0.01965	909.4399	1.19855E-13	2.29208E-12
	10979.86271	1.06699E-5	48931.23666	0.02118	910.7582	1.28634E-13	2.45187E-12
	10963.9914	1.15572E-5	53076.91532	0.02298	912.0766	1.38928E-13	2.6303E-12
	10948.16231	1.26677E-5	58260.75197	0.02522	913.3953	1.51837E-13	2.8639E-12
	10932.37767	1.37836E-5	63484.65511	0.02748	914.7141	1.64737E-13	3.11504E-12
	10916.6349	1.49967E-5	69171.68357	0.02994	916.0332	1.7872E-13	3.36278E-12
	10900.93503	1.63511E-5	75527.23305	0.0327	917.3525	1.94301E-13	3.60787E-12
	10885.27906	1.73297E-5	80162.87421	0.0347	918.6719	2.05339E-13	3.76162E-12
	10869.66446	1.73461E-5	80353.9299	0.03479	919.9916	2.04944E-13	3.70979E-12
	10854.09224	1.68762E-5	78289.27409	0.03389	921.3115	1.98821E-13	3.58724E-12
	10838.56339	1.66489E-5	77345.53749	0.03348	922.6315	1.95582E-13	3.54878E-12
	10823.0754	1.65148E-5	76832.4295	0.03326	923.9518	1.93453E-13	3.53161E-12
	10807.62928	1.60931E-5	74977.52369	0.03246	925.2723	1.87976E-13	3.44129E-12
	10792.22485	1.5367E-5	71696.47534	0.03104	926.593	1.78982E-13	3.27732E-12
	10776.86195	1.44623E-5	67572.03545	0.02925	927.9139	1.67967E-13	3.06892E-12
	10761.54041	1.36353E-5	63798.64562	0.02762	929.235	1.57912E-13	2.87021E-12
	10746.26006	1.32203E-5	61944.67292	0.02682	930.5563	1.52671E-13	2.76478E-12
	10731.01959	1.30824E-5	61385.92048	0.02657	931.8779	1.50651E-13	2.73529E-12
	10715.82114	1.30677E-5	61403.78592	0.02658	933.1996	1.50055E-13	2.73349E-12
	10700.66339	1.31555E-5	61903.92515	0.0268	934.5215	1.50636E-13	2.7308E-12
	10685.54617	1.30916E-5	61690.269	0.02671	935.8436	1.49481E-13	2.68143E-12
	10670.4682	1.3017E-5	61425.32389	0.02659	937.166	1.4821E-13	2.6269E-12
	10655.43158	1.33778E-5	63217.01393	0.02737	938.4885	1.51889E-13	2.66279E-12
	10640.43388	1.43116E-5	67725.05296	0.02932	939.8113	1.62034E-13	2.81953E-12
	10625.47722	1.56137E-5	73990.64607	0.03203	941.1342	1.76279E-13	3.04225E-12
	10610.55916	1.71267E-5	81274.96885	0.03518	942.4574	1.92819E-13	3.28589E-12
	10595.68069	1.87255E-5	88986.92491	0.03852	943.7808	2.10229E-13	3.52535E-12
	10580.84277	2.04293E-5	97219.48518	0.04209	945.1043	2.28714E-13	3.76691E-12
	10566.043	2.2876E-5	109015.32634	0.04719	946.4281	2.5539E-13	4.12751E-12
	10551.28234	2.62903E-5	125461.61484	0.05431	947.7521	2.92689E-13	4.63562E-12
	10536.56176	3.0618E-5	146318.33207	0.06334	949.0762	3.39918E-13	5.26028E-12
	10521.87888	3.60046E-5	172300.2831	0.07459	950.4006	3.98607E-13	6.0322E-12
	10507.23465	4.18862E-5	200725.88224	0.08689	951.7252	4.62432E-13	6.88239E-12
	10492.62893	4.79723E-5	230211.41054	0.09966	953.05	5.28152E-13	7.72416E-12
	10478.06046	5.53462E-5	265966.80245	0.11514	954.3751	6.07644E-13	8.64111E-12
	10463.5313	6.43343E-5	309588.53141	0.13402	955.7003	7.04367E-13	9.69268E-12
	10449.04128	7.38356E-5	355803.18352	0.15403	957.0256	8.06155E-13	1.07746E-11
	10434.58698	8.30487E-5	400754.37247	0.17349	958.3513	9.04239E-13	1.17398E-11
	10420.17153	9.08731E-5	439117.81747	0.1901	959.6771	9.867E-13	1.24343E-11
	10405.7937	9.68466E-5	468630.0473	0.20287	961.0031	1.04866E-12	1.28598E-11
	10391.45332	1.02536E-4	496846.72698	0.21509	962.3293	1.10721E-12	1.32408E-11
	10377.14919	1.08211E-4	525066.68664	0.2273	963.6558	1.16527E-12	1.35967E-11
	10362.8833	1.12799E-4	548084.18242	0.23727	964.9824	1.21135E-12	1.37947E-11
	10348.65338	1.16653E-4	567588.20538	0.24571	966.3093	1.24929E-12	1.38901E-11
	10334.46034	1.19431E-4	581901.14337	0.25191	967.6364	1.27553E-12	1.38477E-11
	10320.30512	1.21965E-4	595065.98186	0.25761	968.9636	1.29904E-12	1.37665E-11
	10306.18543	1.27688E-4	623839.04001	0.27006	970.2911	1.35627E-12	1.39787E-11
	10292.10327	1.36581E-4	668201.51855	0.28927	971.6187	1.44677E-12	1.44432E-11
	10278.05637	1.47609E-4	723138.96986	0.31305	972.9466	1.55932E-12	1.50277E-11
	10264.04565	1.61494E-4	792244.49699	0.34296	974.2747	1.70135E-12	1.58234E-11
	10250.07098	1.75702E-4	863119.38705	0.37365	975.603	1.846E-12	1.66271E-11
	10236.13222	1.88879E-4	929110.90861	0.40221	976.9315	1.97904E-12	1.73108E-11
	10222.23026	2.04445E-4	1.00705E6	0.43596	978.2601	2.13633E-12	1.82943E-11
	10208.36185	2.21285E-4	1.09148E6	0.47251	979.5891	2.30603E-12	1.95088E-11
	10194.52998	2.3475E-4	1.15947E6	0.50194	980.9182	2.43972E-12	2.04384E-11
	10180.73347	2.42356E-4	1.19866E6	0.5189	982.2475	2.51196E-12	2.0937E-11
	10166.97218	2.40474E-4	1.19096E6	0.51557	983.577	2.48571E-12	2.07726E-11
	10153.24599	2.29541E-4	1.13835E6	0.4928	984.9067	2.3663E-12	1.99033E-11
	10139.55475	2.16319E-4	1.07423E6	0.46504	986.2366	2.22399E-12	1.8895E-11
	10125.89731	2.04272E-4	1.01577E6	0.43973	987.5668	2.09447E-12	1.80654E-11
	10112.27558	1.92437E-4	958207.97135	0.41481	988.8971	1.96782E-12	1.73037E-11
	10098.68842	1.80813E-4	901539.43968	0.39028	990.2276	1.84399E-12	1.6541E-11
	10085.13569	1.68651E-4	842029.75797	0.36452	991.5583	1.71535E-12	1.5686E-11
	10071.61624	1.5611E-4	780463.41894	0.33786	992.8893	1.58354E-12	1.47591E-11
	10058.13097	1.46035E-4	731074.01613	0.31648	994.2205	1.47738E-12	1.39671E-11
	10044.68075	1.38237E-4	692959.35751	0.29998	995.5518	1.39475E-12	1.3332E-11
	10031.26344	1.31251E-4	658821.51759	0.28521	996.8834	1.32073E-12	1.2837E-11
	10017.88092	1.25029E-4	628425.97135	0.27205	998.2151	1.25476E-12	1.24504E-11
	10004.53105	1.18064E-4	594213.44227	0.25724	999.5471	1.18171E-12	1.19362E-11
	9991.21772	1.10672E-4	557752.26993	0.24145	1000.879	1.10478E-12	1.139E-11
	9977.92882	1.05234E-4	531049.31709	0.22989	1002.212	1.0477E-12	1.1045E-11
	9964.68516	1.01233E-4	511540.37955	0.22145	1003.544	1.00519E-12	1.07766E-11
	9951.4667	9.74709E-5	493183.81617	0.2135	1004.877	9.65271E-13	1.05348E-11
	9938.28326	9.40102E-5	476304.26999	0.20619	1006.21	9.28534E-13	1.03704E-11
	9925.13471	8.99818E-5	456498.12395	0.19762	1007.543	8.86395E-13	1.0149E-11
	9912.01108	8.55608E-5	434644.33827	0.18816	1008.877	8.40618E-13	9.84606E-12
	9898.93191	8.23588E-5	418931.15594	0.18136	1010.21	8.07025E-13	9.65063E-12
	9885.87743	8.00859E-5	407907.55303	0.17658	1011.544	7.82684E-13	9.53671E-12
	9872.85734	7.80081E-5	397848.47198	0.17223	1012.878	7.60371E-13	9.41848E-12
	9859.87151	7.64442E-5	390385.8975	0.169	1014.212	7.43168E-13	9.3642E-12
