A	B
800	3.75338E-4
802	3.75338E-4
804	4.52985E-4
806	4.61989E-4
808	4.71198E-4
810	5.1562E-4
812	5.25948E-4
814	5.36586E-4
816	5.47634E-4
818	5.59165E-4
820	5.70987E-4
822	5.83319E-4
824	5.95928E-4
826	6.0934E-4
828	6.23018E-4
830	6.37344E-4
832	6.60599E-4
834	6.76333E-4
836	6.92704E-4
838	7.09716E-4
840	7.27623E-4
842	7.46399E-4
844	7.66159E-4
846	7.86931E-4
848	8.08755E-4
850	8.32153E-4
852	8.56707E-4
854	8.83083E-4
856	9.20264E-4
858	9.50625E-4
860	9.83882E-4
862	0.00102
864	0.00106
866	0.00111
868	0.00116
870	0.00122
872	0.00131
874	0.00141
876	0.00155
878	0.00176
880	0.00205
882	0.00244
884	0.00293
886	0.00352
888	0.00418
890	0.00482
892	0.00541
894	0.00581
896	0.006
898	0.00595
900	0.00569
902	0.00529
904	0.00486
906	0.00445
908	0.00416
910	0.00401
912	0.00408
914	0.00436
916	0.00484
918	0.00554
920	0.00641
922	0.00733
924	0.00821
926	0.00895
928	0.00943
930	0.00962
932	0.00953
934	0.00924
936	0.00891
938	0.00866
940	0.00858
942	0.00887
944	0.00964
946	0.01113
948	0.01369
950	0.01808
952	0.02488
954	0.0349
956	0.04846
958	0.06473
960	0.08174
962	0.09609
964	0.10558
966	0.10824
968	0.10527
970	0.09914
972	0.09332
974	0.09063
976	0.09249
978	0.09861
980	0.10806
982	0.1184
984	0.12736
986	0.13284
988	0.13363
990	0.12943
992	0.12098
994	0.10932
996	0.09534
998	0.08169
1000	0.06915
1002	0.05903
1004	0.05104
1006	0.04567
1008	0.04309
1010	0.04254
1012	0.04404
1014	0.04705
1016	0.05117
1018	0.05621
1020	0.06181
1022	0.06788
1024	0.07448
1026	0.08158
1028	0.08892
1030	0.09706
1032	0.10525
1034	0.11206
1036	0.11716
1038	0.11862
1040	0.11605
1042	0.10986
1044	0.1008
1046	0.09065
1048	0.08121
1050	0.07353
1052	0.06754
1054	0.06312
1056	0.05933
1058	0.05599
1060	0.05286
1062	0.04998
1064	0.04759
1066	0.04615
1068	0.04557
1070	0.04536
1072	0.04523
1074	0.04493
1076	0.04412
1078	0.04266
1080	0.04063
1082	0.03809
1084	0.03524
1086	0.03228
1088	0.02944
1090	0.02689
1092	0.02483
1094	0.02342
1096	0.02258
1098	0.02251
1100	0.02292
1102	0.02396
1104	0.02553
1106	0.02729
1108	0.02922
1110	0.03115
1112	0.03287
1114	0.03429
1116	0.03535
1118	0.03608
1120	0.03657
1122	0.03698
1124	0.03719
1126	0.03759
1128	0.03817
1130	0.03884
1132	0.03963
1134	0.04062
1136	0.04171
1138	0.04285
1140	0.04383
1142	0.04451
1144	0.04461
1146	0.04415
1148	0.04284
1150	0.04087
1152	0.03833
1154	0.03558
1156	0.03281
1158	0.03004
1160	0.02763
1162	0.02555
1164	0.02381
1166	0.02239
1168	0.02123
1170	0.02036
1172	0.01974
1174	0.01916
1176	0.0187
1178	0.01827
1180	0.01781
1182	0.01731
1184	0.01675
1186	0.01616
1188	0.01552
1190	0.01487
1192	0.0143
1194	0.0138
1196	0.01342
1198	0.01314
1200	0.01294
1202	0.01284
1204	0.01277
1206	0.01265
1208	0.01247
1210	0.01216
1212	0.01175
1214	0.01121
1216	0.01057
1218	0.00991
1220	0.00925
1222	0.00866
1224	0.0081
1226	0.00765
1228	0.00724
1230	0.00692
1232	0.00664
1234	0.00639
1236	0.00617
1238	0.00595
1240	0.00573
1242	0.00552
1244	0.0053
1246	0.0051
1248	0.0049
1250	0.00473
1252	0.00457
1254	0.00443
1256	0.0043
1258	0.00419
1260	0.00408
1262	0.00399
1264	0.00392
1266	0.00385
1268	0.00381
1270	0.00379
1272	0.00379
1274	0.00384
1276	0.00393
1278	0.00406
1280	0.00425
1282	0.00445
1284	0.00469
1286	0.00493
1288	0.00517
1290	0.00537
1292	0.00555
1294	0.00564
1296	0.00568
1298	0.00566
1300	0.00557
1302	0.00543
1304	0.00526
1306	0.00507
1308	0.00488
1310	0.0047
1312	0.00455
1314	0.00446
1316	0.00437
1318	0.00433
1320	0.00429
1322	0.00427
1324	0.00423
1326	0.00417
1328	0.00409
1330	0.00396
1332	0.0038
1334	0.00361
1336	0.0034
1338	0.00317
1340	0.00293
1342	0.0027
1344	0.00248
1346	0.00227
1348	0.0021
1350	0.00195
1352	0.00183
1354	0.00172
1356	0.00164
1358	0.00158
1360	0.00152
1362	0.00147
1364	0.00142
1366	0.00138
1368	0.00133
1370	0.00128
1372	0.00122
1374	0.00116
1376	0.0011
1378	0.00104
1380	9.73564E-4
1382	9.12279E-4
1384	8.48435E-4
1386	7.93535E-4
1388	7.42401E-4
1390	6.96148E-4
1392	6.54265E-4
1394	6.17066E-4
1396	5.85105E-4
1398	5.55785E-4
1400	5.30103E-4
1402	5.07632E-4
1404	4.88177E-4
1406	4.7049E-4
1408	4.5462E-4
1410	4.40593E-4
1412	4.27671E-4
1414	4.16019E-4
1416	4.05107E-4
1418	3.95208E-4
1420	3.85895E-4
1422	3.77238E-4
1424	3.69021E-4
1426	3.6126E-4
1428	3.54045E-4
1430	3.46996E-4
1432	3.40353E-4
1434	3.34025E-4
1436	3.27915E-4
1438	3.22119E-4
1440	3.16432E-4
1442	3.11073E-4
1444	3.05872E-4
1446	3.00787E-4
1448	2.95959E-4
1450	2.91289E-4
1452	2.86767E-4
1454	2.82308E-4
1456	2.78018E-4
1458	2.73859E-4
1460	2.69855E-4
1462	2.65934E-4
1464	2.62142E-4
1466	2.58423E-4
1468	2.54785E-4
1470	2.51271E-4
1472	2.4783E-4
1474	2.44458E-4
1476	2.41177E-4
1478	2.38036E-4
1480	2.34917E-4
1482	2.31869E-4
1484	2.28885E-4
1486	2.26002E-4
1488	2.23155E-4
1490	2.20341E-4
1492	2.17635E-4
1494	2.14956E-4
1496	2.12391E-4
1498	2.09803E-4
1500	2.07326E-4
1502	2.04852E-4
1504	2.02465E-4
1506	2.00132E-4
1508	1.97804E-4
1510	1.95555E-4
1512	1.93333E-4
1514	1.91132E-4
1516	1.89024E-4
1518	1.86926E-4
1520	1.84858E-4
1522	1.54377E-4
1524	1.52631E-4
1526	1.50917E-4
1528	1.34031E-4
1530	1.32492E-4
1532	1.30978E-4
1534	1.29483E-4
1536	1.2803E-4
1538	1.26586E-4
1540	1.25176E-4
1542	1.23787E-4
1544	1.2243E-4
1546	1.21118E-4
1548	1.19787E-4
1550	1.18496E-4
1552	1.17222E-4
1554	1.16E-4
1556	1.14754E-4
1558	1.13537E-4
1560	1.12384E-4
1562	1.11205E-4
1564	1.10077E-4
1566	1.0893E-4
1568	1.07827E-4
1570	1.06727E-4
1572	1.05662E-4
1574	1.04591E-4
1576	1.0357E-4
1578	1.02557E-4
1580	1.01525E-4
1582	1.00549E-4
1584	9.95715E-5
1586	9.86151E-5
1588	9.76473E-5
1590	9.67268E-5
1592	9.58052E-5
1594	9.48971E-5
1596	9.40043E-5
1598	9.31325E-5
1600	9.22664E-5
