LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
	6809.628	-9.3664E-7	-6925.80062	-0.003	1468.509	-4.3433E-15	-1.04323E-13
	6803.12835	-7.39299E-7	-5471.82557	-0.00237	1469.912	-3.42166E-15	-7.75132E-14
	6796.64572	8.05155E-8	596.49322	2.58223E-4	1471.314	3.71936E-16	1.21727E-14
	6790.17082	4.44483E-7	3296.05877	0.00143	1472.717	2.04935E-15	5.978E-14
	6783.70825	1.58963E-7	1179.91314	5.10788E-4	1474.12	7.31528E-16	1.19603E-14
	6777.25337	-9.1714E-8	-681.40096	-2.9498E-4	1475.524	-4.21253E-16	-9.84054E-15
	6770.81535	-1.25467E-7	-933.05984	-4.03924E-4	1476.927	-5.7519E-16	0
	6764.38497	-2.50314E-7	-1863.2742	-8.06616E-4	1478.331	-1.14536E-15	0
	6757.9668	-8.14316E-8	-606.73291	-2.62656E-4	1479.735	-3.71899E-16	-8.92987E-15
	6751.56079	8.19868E-8	611.44904	2.64698E-4	1481.139	3.73725E-16	5.52344E-15
	6745.16692	-1.64618E-7	-1228.86746	-5.3198E-4	1482.543	-7.48967E-16	-1.44535E-14
	6738.7806	-3.05432E-7	-2282.20487	-9.87972E-4	1483.948	-1.387E-15	-4.81032E-14
	6732.40637	-2.01389E-7	-1506.21402	-6.52044E-4	1485.353	-9.12803E-16	-2.46475E-14
	6726.04418	8.99093E-9	67.30784	2.91377E-5	1486.758	4.06747E-17	9.64594E-16
	6719.69401	1.77225E-7	1327.99736	5.74894E-4	1488.163	8.00249E-16	4.08722E-14
	6713.35582	3.39261E-7	2544.57449	0.0011	1489.568	1.52902E-15	0
	6707.02507	5.20201E-7	3905.36803	0.00169	1490.974	2.34008E-15	0
	6700.70625	4.50584E-7	3385.91446	0.00147	1492.38	2.0231E-15	0
	6694.39933	3.97023E-7	2986.24221	0.00129	1493.786	1.77926E-15	5.04342E-14
	6688.10427	5.43087E-7	4088.72135	0.00177	1495.192	2.42927E-15	4.30995E-14
	6681.82104	2.85436E-7	2150.96872	9.3116E-4	1496.598	1.27438E-15	2.2316E-14
	6675.54514	-4.02092E-7	-3032.91016	-0.00131	1498.005	-1.79184E-15	-4.4896E-14
	6669.28102	-7.97238E-7	-6019.07138	-0.00261	1499.412	-3.54606E-15	0
	6663.02865	-6.17008E-7	-4662.72863	-0.00202	1500.819	-2.73927E-15	0
	6656.78799	-1.94357E-7	-1470.12903	-6.36423E-4	1502.226	-8.61249E-16	0
	6650.55901	1.22472E-7	927.25768	4.01412E-4	1503.633	5.41694E-16	0
	6644.33726	1.86996E-7	1417.10309	6.13468E-4	1505.041	8.25535E-16	0
	6638.12715	-2.21355E-8	-167.90511	-7.26866E-5	1506.449	-9.75394E-17	0
	6631.92862	-3.66144E-7	-2779.92084	-0.0012	1507.857	-1.61039E-15	-7.46555E-14
	6625.74167	-6.19333E-7	-4706.63146	-0.00204	1509.265	-2.7189E-15	-6.57416E-14
