POSITION	HEIGHT	NM	AMPLITUDE
Peak Position	Label Y	Peak Label	Peak Amplitude
9639.14035	0.70509	7,5	0.65611
8737.38015	0.70509	7,6	0.23571
10145.23759	0.70509	6,5	0.17626
7725.47694	0.70509	8,7	0.10464
9484.72217	0.70509	8,1	0.1028
8983.28443	0.70509	9,4	0.10133
8474.58649	0.70509	9,2	0.10119
9315.01043	0.70509	10,2	0.10042
7539.89053	0.70509	11,4	0.09918
8279.00679	0.70509	8,6	0.08219
10386.01794	0.70509	8,3	0.05847
8099.4371	0.70509	11,3	0.04821
7892.20282	0.70509	10,3	0.03118
11185.47013	0.70509	6,4	0.01716
10790.67362	0.70509	9,1	0.01329
7308.7554	0.70509	12,2	0.01135
7019.42276	0.70509	9,8	0
