A	FIT	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25
11340.38471	0.0187	0.01183	6.0258E-4	9.65884E-4	9.56875E-4	3.4225E-4	0.00176	9.67506E-5	2.60421E-4	1.90176E-4	5.18021E-4	8.52657E-4	1.62368E-4	0	1.58066E-4	0	0	0	0	0	0	0	0	0	0	0
11323.51253	0.02143	0.01439	6.43753E-4	0.001	9.85375E-4	3.49762E-4	0.0018	9.85309E-5	2.64884E-4	1.92959E-4	5.25123E-4	8.63969E-4	1.64244E-4	0	1.59829E-4	0	0	0	0	0	0	0	0	0	0	0
11306.68664	0.02459	0.01736	6.89416E-4	0.00104	0.00101	3.57524E-4	0.00183	1.00361E-4	2.69252E-4	1.95804E-4	5.32372E-4	8.74978E-4	1.66239E-4	0	1.61622E-4	0	0	0	0	0	0	0	0	0	0	0
11289.90941	0.02796	0.02053	7.40269E-4	0.00108	0.00104	3.65549E-4	0.00187	1.02242E-4	2.73945E-4	1.98711E-4	5.39772E-4	8.86739E-4	1.68183E-4	0	1.63445E-4	0	0	0	0	0	0	0	0	0	0	0
11273.17808	0.03124	0.0236	7.9716E-4	0.00112	0.00108	3.73849E-4	0.00191	1.04177E-4	2.78762E-4	2.01559E-4	5.46996E-4	8.98187E-4	1.70251E-4	0	1.65227E-4	0	0	0	0	0	0	0	0	0	0	0
11256.495	0.03454	0.02668	8.5818E-4	0.00116	0.00111	3.82436E-4	0.00195	1.06111E-4	2.8348E-4	2.04597E-4	5.54705E-4	9.10419E-4	1.72266E-4	0	1.67112E-4	0	0	0	0	0	0	0	0	0	0	0
11239.85743	0.03751	0.0293	9.30106E-4	0.00121	0.00114	3.90848E-4	0.00199	1.08158E-4	2.88552E-4	2.07573E-4	5.62231E-4	9.2233E-4	1.74316E-4	0	1.69029E-4	0	1.1769E-4	0	0	0	0	0	0	0	0	0
11223.26646	0.03988	0.03141	0.00101	0.00126	0.00118	4.00034E-4	0.00203	1.10264E-4	2.93522E-4	2.10748E-4	5.70265E-4	9.34477E-4	1.76499E-4	0	1.70904E-4	0	1.18878E-4	0	0	0	0	0	0	0	0	0
11206.72314	0.04167	0.03293	0.00111	0.00131	0.00122	4.0955E-4	0.00207	1.12371E-4	2.98622E-4	2.1386E-4	5.78111E-4	9.4746E-4	1.78625E-4	0	1.7281E-4	0	1.20084E-4	0	0	0	0	0	0	0	0	0
11190.22476	0.0426	0.03358	0.00121	0.00137	0.00126	4.18884E-4	0.00212	1.14539E-4	3.04108E-4	2.17041E-4	5.86489E-4	9.60107E-4	1.80791E-4	0	1.74826E-4	0	1.21308E-4	0	0	0	0	0	0	0	0	0
11173.77239	0.04275	0.0334	0.00133	0.00143	0.0013	4.29088E-4	0.00216	1.16835E-4	3.09488E-4	2.20294E-4	5.94674E-4	9.73009E-4	1.82996E-4	0	1.76798E-4	0	1.22552E-4	0	0	0	0	0	0	0	0	0
11157.36583	0.04209	0.0324	0.00147	0.00149	0.00134	4.39106E-4	0.00221	1.19135E-4	3.15013E-4	2.2362E-4	6.03031E-4	9.86172E-4	1.85241E-4	0	1.78804E-4	0	1.23814E-4	0	0	0	0	0	0	0	0	0
11141.00614	0.04074	0.03068	0.00164	0.00155	0.00139	4.4948E-4	0.00226	1.21503E-4	3.20686E-4	2.27023E-4	6.11566E-4	9.99604E-4	1.87528E-4	0	1.80844E-4	0	1.25096E-4	0	0	0	0	0	0	0	0	0
11124.69065	0.03884	0.02835	0.00185	0.00163	0.00143	4.60838E-4	0.00231	1.23943E-4	3.26515E-4	2.30504E-4	6.20283E-4	0.00101	1.89858E-4	0	1.8292E-4	0	1.26344E-4	0	0	0	0	0	0	0	0	0
11108.4204	0.03655	0.02559	0.00209	0.0017	0.00149	4.72002E-4	0.00236	1.26456E-4	3.32505E-4	2.34065E-4	6.29188E-4	0.00103	1.92232E-4	0	1.85031E-4	0	1.27666E-4	0	0	0	0	0	0	0	0	0
11092.19399	0.03408	0.02258	0.00239	0.00178	0.00154	4.8358E-4	0.00241	1.28972E-4	3.38661E-4	2.3771E-4	6.38286E-4	0.00104	1.9465E-4	0	1.87179E-4	0	1.29008E-4	0	0	0	0	0	0	0	0	0
11076.01491	0.03165	0.01951	0.00276	0.00187	0.00159	4.95592E-4	0.00247	1.31642E-4	3.4499E-4	2.41441E-4	6.47583E-4	0.00106	1.97001E-4	0	1.89364E-4	1.60947E-5	1.30315E-4	0	0	0	0	0	0	0	0	0
11059.87807	0.02943	0.01652	0.00326	0.00196	0.00165	5.08061E-4	0.00252	1.34395E-4	3.51498E-4	2.4526E-4	6.57084E-4	0.00107	1.99511E-4	0	1.91588E-4	1.62713E-5	1.317E-4	0	0	0	0	0	0	0	0	0
11043.78696	0.02767	0.01388	0.00387	0.00206	0.00171	5.21743E-4	0.00258	1.37153E-4	3.58193E-4	2.49171E-4	6.66795E-4	0.00109	2.02068E-4	0	1.93852E-4	1.64439E-5	1.33047E-4	0	0	0	0	0	0	0	0	0
11027.74017	0.02625	0.01138	0.00466	0.00217	0.00178	5.35225E-4	0.00264	1.39997E-4	3.64749E-4	2.53E-4	6.76724E-4	0.0011	2.04555E-4	0	1.96062E-4	1.66263E-5	1.34476E-4	0	0	0	0	0	0	0	0	0
11011.73752	0.02536	0.00922	0.00562	0.00228	0.00184	5.49241E-4	0.0027	1.43018E-4	3.71829E-4	2.57098E-4	6.86409E-4	0.00112	2.07211E-4	0	1.98406E-4	1.68118E-5	1.35867E-4	0	0	0	0	0	0	0	0	0
10995.77883	0.02523	0.00748	0.00691	0.00241	0.00191	5.63819E-4	0.00277	1.46047E-4	3.79117E-4	2.61112E-4	6.96781E-4	0.00113	2.09794E-4	0	2.00695E-4	1.70004E-5	1.3728E-4	0	0	0	0	0	0	0	0	0
10979.86271	0.02571	0.00598	0.00855	0.00255	0.00199	5.78132E-4	0.00283	1.49174E-4	3.8626E-4	2.6541E-4	7.07389E-4	0.00115	2.12426E-4	0	2.03122E-4	1.71847E-5	1.38714E-4	0	0	0	0	0	0	0	0	0
10963.9914	0.02696	0.00483	0.0106	0.00269	0.00207	5.93893E-4	0.0029	1.52403E-4	3.9398E-4	2.69621E-4	7.17742E-4	0.00116	2.15237E-4	0	2.05494E-4	1.73797E-5	1.40172E-4	0	0	0	0	0	0	0	0	0
10948.16231	0.0288	0.00391	0.01298	0.00285	0.00215	6.10314E-4	0.00297	1.55737E-4	4.0155E-4	2.73934E-4	7.28834E-4	0.00118	2.17972E-4	0	2.07908E-4	1.75702E-5	1.41717E-4	0	0	0	0	0	0	0	0	0
10932.37767	0.03141	0.00315	0.01593	0.00302	0.00224	6.27431E-4	0.00305	1.59183E-4	4.09342E-4	2.78554E-4	7.39664E-4	0.0012	2.2076E-4	0	2.10467E-4	1.77718E-5	1.43222E-4	0	0	0	0	0	0	0	0	0
10916.6349	0.03469	0.0026	0.01934	0.00322	0.00234	6.44273E-4	0.00312	1.62637E-4	4.17769E-4	2.83083E-4	7.50736E-4	0.00122	2.23602E-4	0	2.12969E-4	1.79689E-5	1.44684E-4	0	0	0	0	0	0	0	0	0
10900.93503	0.03833	0.00216	0.02295	0.00343	0.00244	6.62864E-4	0.0032	1.66316E-4	4.26041E-4	2.87724E-4	7.62605E-4	0.00123	2.26499E-4	0	2.15516E-4	1.81692E-5	1.46237E-4	0	0	0	0	0	0	0	0	0
10885.27906	0.04249	0.00183	0.02696	0.00365	0.00255	6.82278E-4	0.00328	1.7012E-4	4.34561E-4	2.92481E-4	7.74198E-4	0.00125	2.29453E-4	0	2.18109E-4	1.8373E-5	1.47815E-4	0	0	0	0	0	0	0	0	0
10869.66446	0.04661	0.00156	0.03082	0.0039	0.00267	7.01416E-4	0.00336	1.7394E-4	4.4334E-4	2.97356E-4	7.86058E-4	0.00127	2.32465E-4	0	2.20749E-4	1.85802E-5	1.49418E-4	0	0	0	0	0	0	0	0	0
10854.09224	0.05066	0.00136	0.0345	0.00419	0.00279	7.2258E-4	0.00345	1.77889E-4	4.52389E-4	3.02354E-4	7.98192E-4	0.00129	2.35536E-4	0	2.23437E-4	1.87909E-5	1.51048E-4	0	0	0	0	0	0	0	0	0
10838.56339	0.05436	0.00119	0.03775	0.0045	0.00292	7.4347E-4	0.00354	1.82101E-4	4.61718E-4	3.0748E-4	8.10609E-4	0.00131	2.38669E-4	0	2.26174E-4	1.90053E-5	1.52632E-4	5.85445E-6	0	0	0	0	0	0	0	0
10823.0754	0.05757	0.00106	0.04044	0.00484	0.00307	7.66603E-4	0.00363	1.86334E-4	4.7134E-4	3.12737E-4	8.23318E-4	0.00133	2.41865E-4	0	2.28845E-4	1.92233E-5	1.54315E-4	5.91629E-6	0	0	0	0	0	0	0	0
10807.62928	0.05984	9.4544E-4	0.0421	0.00523	0.00321	7.89468E-4	0.00373	1.90716E-4	4.81267E-4	3.17882E-4	8.36329E-4	0.00135	2.45126E-4	0	2.31683E-4	1.94451E-5	1.55951E-4	5.97911E-6	0	0	0	0	0	0	0	0
10792.22485	0.06117	8.53118E-4	0.04274	0.00567	0.00338	8.13384E-4	0.00383	1.95255E-4	4.91512E-4	3.2341E-4	8.4965E-4	0.00137	2.48293E-4	0	2.34574E-4	1.96708E-5	1.57689E-4	6.04294E-6	0	0	0	0	0	0	0	0
10776.86195	0.06152	7.75036E-4	0.0423	0.00616	0.00355	8.38417E-4	0.00394	1.99958E-4	5.02088E-4	3.29083E-4	8.63291E-4	0.00139	2.51685E-4	0	2.37395E-4	1.99004E-5	1.59379E-4	6.1078E-6	0	0	0	0	0	0	0	0
10761.54041	0.06094	7.0819E-4	0.04083	0.00673	0.00374	8.6622E-4	0.00405	2.04834E-4	5.1301E-4	3.3464E-4	8.76591E-4	0.00141	2.5498E-4	0	2.40394E-4	2.01246E-5	1.61096E-4	6.17371E-6	0	0	0	0	0	0	0	0
10746.26006	0.05955	6.53052E-4	0.03844	0.00738	0.00394	8.93785E-4	0.00416	2.09734E-4	5.23721E-4	3.40613E-4	8.90889E-4	0.00143	2.58511E-4	0	2.43322E-4	2.03623E-5	1.62921E-4	6.24069E-6	0	0	0	0	0	0	0	0
10731.01959	0.05756	6.02201E-4	0.03533	0.00811	0.00417	9.22705E-4	0.00428	2.14974E-4	5.35364E-4	3.46465E-4	9.05539E-4	0.00145	2.61942E-4	0	2.46434E-4	2.05944E-5	1.64696E-4	6.30603E-6	0	0	0	0	0	0	0	0
10715.82114	0.05543	5.59558E-4	0.0319	0.00899	0.0044	9.53072E-4	0.00439	2.20414E-4	5.474E-4	3.52759E-4	9.19831E-4	0.00147	2.65618E-4	0	2.49473E-4	2.08405E-5	1.66501E-4	6.37518E-6	0	0	0	0	0	0	0	0
10700.66339	0.05312	5.19664E-4	0.02807	0.01	0.00466	9.84985E-4	0.00452	2.25888E-4	5.59216E-4	3.58929E-4	9.35204E-4	0.0015	2.69192E-4	0	2.52568E-4	2.10808E-5	1.68335E-4	6.44264E-6	0	8.10009E-5	0	0	0	0	0	0
10685.54617	0.05102	4.85791E-4	0.02421	0.01125	0.00495	0.00102	0.00465	2.31751E-4	5.72073E-4	3.65263E-4	9.50205E-4	0.00152	2.72839E-4	0	2.5586E-4	2.13254E-5	1.70199E-4	6.51406E-6	0	8.18219E-5	0	0	0	0	0	0
10670.4682	0.04932	4.53753E-4	0.02051	0.01272	0.00526	0.00105	0.00479	2.37656E-4	5.84704E-4	3.72079E-4	9.66349E-4	0.00154	2.76749E-4	0	2.59075E-4	2.15847E-5	1.72095E-4	6.58375E-6	0	8.26905E-5	0	0	0	0	0	0
10655.43158	0.04855	4.26285E-4	0.01727	0.01462	0.0056	0.00109	0.00493	2.43791E-4	5.98459E-4	3.78766E-4	9.82109E-4	0.00157	2.80551E-4	0	2.62352E-4	2.18381E-5	1.74022E-4	6.65754E-6	0	8.35374E-5	0	0	0	0	0	0
10640.43388	0.04848	4.01331E-4	0.01426	0.01695	0.00598	0.00113	0.00508	2.50167E-4	6.11983E-4	3.85635E-4	9.98258E-4	0.00159	2.84431E-4	0	2.65691E-4	2.2096E-5	1.75983E-4	6.72955E-6	0	8.43974E-5	0	0	0	0	0	0
10625.47722	0.04972	3.77439E-4	0.01179	0.01999	0.00639	0.00117	0.00524	2.56797E-4	6.25972E-4	3.92693E-4	0.00102	0.00162	2.88393E-4	0	2.69094E-4	2.23586E-5	1.77976E-4	6.80273E-6	4.85628E-6	8.52708E-5	0	0	0	0	0	0
10610.55916	0.05232	3.56726E-4	0.00961	0.02404	0.00685	0.00121	0.0054	2.63694E-4	6.41224E-4	3.99946E-4	0.00103	0.00164	2.92439E-4	0	2.72563E-4	2.26258E-5	1.79911E-4	6.88024E-6	4.90953E-6	8.61577E-5	0	0	0	0	0	0
10595.68069	0.05695	3.37721E-4	0.00791	0.02957	0.00737	0.00126	0.00557	2.70874E-4	6.56238E-4	4.07403E-4	0.00105	0.00167	2.9657E-4	0	2.75944E-4	2.28978E-5	1.81971E-4	6.95591E-6	4.96365E-6	8.70587E-5	0	0	0	0	0	0
10580.84277	0.06413	3.20237E-4	0.00653	0.03726	0.00795	0.00131	0.00574	2.78351E-4	6.71788E-4	4.1507E-4	0.00107	0.0017	3.0079E-4	0	2.79546E-4	2.31748E-5	1.84068E-4	7.03283E-6	5.01868E-6	8.79738E-5	0	0	0	0	0	0
10566.043	0.07475	3.04111E-4	0.00542	0.04803	0.00861	0.00136	0.00593	2.86143E-4	6.87899E-4	4.22957E-4	0.00109	0.00172	3.051E-4	0	2.8322E-4	2.34568E-5	1.86103E-4	7.11103E-6	5.07463E-6	8.88644E-5	0	0	0	0	0	0
10551.28234	0.08988	2.89201E-4	0.0045	0.06304	0.00932	0.00141	0.00613	2.94009E-4	7.046E-4	4.3107E-4	0.00111	0.00175	3.09503E-4	0	2.86966E-4	2.3732E-5	1.88272E-4	7.19055E-6	5.13152E-6	8.98082E-5	0	0	0	0	0	0
10536.56176	0.11101	2.75387E-4	0.00381	0.08367	0.01017	0.00147	0.00633	3.02474E-4	7.21919E-4	4.39017E-4	0.00112	0.00178	3.13776E-4	0	2.9062E-4	2.40243E-5	1.90377E-4	7.26801E-6	5.18937E-6	9.07671E-5	0	0	0	0	0	0
10521.87888	0.13828	2.62559E-4	0.00326	0.11014	0.01116	0.00153	0.00654	3.11029E-4	7.39888E-4	4.476E-4	0.00114	0.00181	3.18369E-4	0	2.94515E-4	2.43221E-5	1.92621E-4	7.35018E-6	5.2482E-6	9.17006E-5	0	0	0	0	0	0
10507.23465	0.17477	2.50625E-4	0.00282	0.14561	0.01225	0.00159	0.00676	3.19952E-4	7.58539E-4	4.56438E-4	0.00116	0.00184	3.23065E-4	0	2.98314E-4	2.46126E-5	1.948E-4	7.43375E-6	5.30573E-6	9.26901E-5	0	0	0	0	0	0
10492.62893	0.21843	2.39502E-4	0.00247	0.18786	0.01361	0.00166	0.007	3.29574E-4	7.77908E-4	4.65101E-4	0.00119	0.00187	3.27622E-4	0	3.02365E-4	2.49214E-5	1.97016E-4	7.51876E-6	5.36656E-6	9.36535E-5	0	0	0	0	0	0
10478.06046	0.27176	2.29646E-4	0.00218	0.23955	0.01514	0.00173	0.00723	3.39316E-4	7.98033E-4	4.74465E-4	0.00121	0.0019	3.32524E-4	0	3.06317E-4	2.52229E-5	1.99271E-4	7.6016E-6	5.42605E-6	9.46749E-5	0	0	0	0	0	0
10463.5313	0.32923	2.19899E-4	0.00194	0.29488	0.01709	0.00181	0.00749	3.49497E-4	8.17831E-4	4.8365E-4	0.00123	0.00193	3.37284E-4	0	3.10348E-4	2.55298E-5	2.01674E-4	7.68951E-6	5.48897E-6	9.56695E-5	0	0	0	0	0	0
10449.04128	0.3914	2.1077E-4	0.00174	0.35451	0.01935	0.00189	0.00777	3.60145E-4	8.39543E-4	4.93584E-4	0.00125	0.00197	3.42406E-4	0	3.14647E-4	2.58561E-5	2.04009E-4	7.7752E-6	5.55051E-6	9.66799E-5	0	0	0	2.27871E-5	0	0
10434.58698	0.44942	2.02644E-4	0.00158	0.40927	0.02228	0.00198	0.00806	3.71288E-4	8.62137E-4	5.03334E-4	0.00127	0.002	3.47381E-4	0	3.18844E-4	2.61747E-5	2.06385E-4	7.86616E-6	5.61309E-6	9.77064E-5	0	0	0	2.30079E-5	0	0
10420.17153	0.50009	1.94573E-4	0.00144	0.45611	0.02576	0.00207	0.00835	3.82958E-4	8.84398E-4	5.13885E-4	0.0013	0.00203	3.52735E-4	0	3.23125E-4	2.64992E-5	2.08803E-4	7.95482E-6	5.6793E-6	9.8795E-5	0	0	0	2.32221E-5	0	0
10405.7937	0.53867	1.8737E-4	0.00132	0.48994	0.03011	0.00218	0.00867	3.95189E-4	9.08851E-4	5.24246E-4	0.00132	0.00207	3.57938E-4	0	3.27493E-4	2.68299E-5	2.11263E-4	8.045E-6	5.74408E-6	9.98555E-5	0	0	0	2.34393E-5	0	0
10391.45332	0.56139	1.80199E-4	0.00121	0.50677	0.03555	0.00228	0.009	4.08017E-4	9.32969E-4	5.34925E-4	0.00134	0.0021	3.63256E-4	0	3.3195E-4	2.71667E-5	2.13768E-4	8.14075E-6	5.80998E-6	1.00933E-4	0	0	0	2.36596E-5	0	0
