A	B
-229.22621	-49.49746
-227.68269	-49.08914
-226.13958	-49.16032
-224.59686	-49.88617
-223.05454	-50.52548
-221.51263	-50.32976
-219.97111	-49.20403
-218.43	-48.9698
-216.88928	-50.23862
-215.34896	-51.96081
-213.80905	-52.897
-212.26953	-54.22356
-210.73041	-55.96932
-209.19169	-56.42846
-207.65337	-55.39897
-206.11545	-54.6058
-204.57793	-55.51134
-203.0408	-57.35455
-201.50408	-59.47539
-199.96775	-60.39134
-198.43182	-60.71864
-196.89629	-60.76968
-195.36116	-61.30384
-193.82642	-61.57501
-192.29208	-62.50255
-190.75814	-64.03504
-189.2246	-65.12137
-187.69146	-63.83018
-186.15871	-61.32103
-184.62636	-60.91681
-183.09441	-64.04981
-181.56285	-66.90883
-180.03169	-66.17547
-178.50093	-63.33672
-176.97057	-62.56158
-175.4406	-63.51063
-173.91102	-63.83174
-172.38185	-62.83917
-170.85307	-63.17111
-169.32468	-65.49253
-167.7967	-67.98982
-166.2691	-68.06242
-164.74191	-66.49783
-163.21511	-65.05791
-161.6887	-64.36109
-160.16269	-63.2345
-158.63708	-62.50668
-157.11186	-63.05188
-155.58703	-64.7977
-154.0626	-66.7333
-152.53857	-69.41529
-151.01493	-72.38129
-149.49168	-74.00478
-147.96883	-72.62776
-146.44638	-69.75292
-144.92431	-67.88512
-143.40264	-67.69866
-141.88137	-66.34197
-140.36049	-63.62104
-138.84	-63.47055
-137.31991	-67.89551
-135.80021	-72.06545
-134.28091	-72.56564
-132.76199	-72.3332
-131.24347	-75.23375
-129.72535	-79.00312
-128.20761	-80.6865
-126.69027	-79.49701
-125.17333	-77.57172
-123.65677	-75.47581
-122.14061	-74.11852
-120.62484	-73.82159
-119.10946	-76.71106
-117.59447	-82.45171
-116.07988	-87.56704
-114.56568	-87.28164
-113.05187	-83.04848
-111.53845	-80.39
-110.02542	-82.27005
-108.51279	-84.87355
-107.00055	-83.9109
-105.48869	-79.33087
-103.97723	-73.75911
-102.46616	-70.44356
-100.95548	-71.01225
-99.4452	-74.77995
-97.9353	-79.072
-96.42579	-82.91025
-94.91667	-86.35575
-93.40795	-88.97655
-91.89961	-90.69499
-90.39167	-93.9002
-88.88411	-101.03426
-87.37694	-109.56482
-85.87017	-112.55516
-84.36378	-108.81191
-82.85779	-103.74869
-81.35218	-101.54528
-79.84696	-101.99002
-78.34213	-106.23512
-76.83769	-115.51403
-75.33364	-125.91923
-73.82998	-133.28636
-72.32671	-135.41201
-70.82382	-134.71446
-69.32133	-132.75316
-67.81922	-134.24359
-66.3175	-139.12041
-64.81617	-145.53386
-63.31523	-144.66562
-61.81467	-133.44791
-60.31451	-117.41439
-58.81473	-110.31707
-57.31534	-115.6423
-55.81633	-123.22305
-54.31772	-125.23941
-52.81949	-126.27912
-51.32165	-132.2347
-49.82419	-132.10516
-48.32713	-117.88801
-46.83045	-101.65566
-45.33415	-106.38829
-43.83825	-128.80687
-42.34273	-151.59936
-40.84759	-162.31006
-39.35284	-167.57396
-37.85848	-167.35331
-36.36451	-165.34202
-34.87092	-159.81658
-33.37771	-158.70614
-31.8849	-168.95054
-30.39247	-203.06337
-28.90042	-255.81316
-27.40876	-294.86802
-25.91748	-276.84757
-24.42659	-192.30315
-22.93609	-94.61099
-21.44597	-39.59025
-19.95623	-34.43573
-18.46688	-42.37921
-16.97792	-45.23983
-15.48933	-43.96574
-14.00114	-44.07579
-12.51332	-44.0758
-11.0259	-44.0758
-9.53885	-44.07581
-8.05219	-44.07582
-6.56592	-44.07583
-5.08002	-44.07584
-3.59452	-44.07585
-2.10939	-44.07586
-0.62465	-44.07587
0.85971	-44.07588
2.34368	-44.07589
3.82728	-44.0759
5.31049	-44.0759
6.79331	-44.07591
8.27575	-44.07592
9.75782	-44.07593
11.23949	-44.07594
12.72079	-44.07595
14.2017	-44.07596
15.68223	-44.07597
17.16238	-44.07598
18.64215	-44.07599
20.12153	-44.076
21.60053	-44.07601
23.07916	-44.07602
24.5574	-44.07603
26.03525	-44.07604
27.51273	-44.07604
28.98983	-44.07605
30.46654	-44.07606
31.94287	-44.07607
33.41882	-44.07608
34.8944	-44.07609
36.36959	-44.0761
37.8444	-44.07611
39.31883	-44.07612
40.79288	-44.07613
42.26654	-44.07614
43.73983	-44.07615
45.21274	-44.07616
46.68527	-44.07617
48.15742	-44.07618
49.62919	-44.07619
51.10058	-44.0762
52.57159	-44.07621
54.04222	-44.07622
55.51247	-44.07623
56.98234	-44.07624
58.45183	-44.07625
59.92094	-44.07626
61.38968	-44.07627
62.85803	-44.07628
64.32601	-44.07629
65.79361	-44.0763
67.26083	-44.07631
68.72767	-44.07632
