WAVELENGTH	ABS
nm	Abs
881.8043	0.38124
883.1182	0.37865
884.4324	0.37565
885.7467	0.3713
887.0613	0.36557
888.376	0.3644
889.691	0.36665
891.0062	0.36623
892.3215	0.36417
893.6371	0.36181
894.9529	0.35907
896.2689	0.35826
897.585	0.35914
898.9014	0.35869
900.218	0.35657
901.5349	0.35502
902.8518	0.35377
904.1691	0.35223
905.4865	0.35117
906.8041	0.35062
908.1219	0.35078
909.4399	0.35015
910.7582	0.34854
912.0766	0.34704
913.3953	0.34537
914.7141	0.34451
916.0332	0.3437
917.3525	0.34242
918.6719	0.34214
919.9916	0.34278
921.3115	0.34342
922.6315	0.34322
923.9518	0.34321
925.2723	0.34401
926.593	0.34404
927.9139	0.34416
929.235	0.34523
930.5563	0.34574
931.8779	0.34602
933.1996	0.34635
934.5215	0.34639
935.8436	0.3469
937.166	0.34769
938.4885	0.34896
939.8113	0.35042
941.1342	0.35105
942.4574	0.35162
943.7808	0.35284
945.1043	0.35422
946.4281	0.35543
947.7521	0.35726
949.0762	0.35966
950.4006	0.36181
951.7252	0.36385
953.05	0.36595
954.3751	0.36737
955.7003	0.3688
957.0256	0.37107
958.3513	0.37299
959.6771	0.37492
961.0031	0.37644
962.3293	0.37731
963.6558	0.37887
964.9824	0.38045
966.3093	0.38184
967.6364	0.38341
968.9636	0.38536
970.2911	0.38861
971.6187	0.39199
972.9466	0.39414
974.2747	0.39617
975.603	0.39806
976.9315	0.39958
978.2601	0.40134
979.5891	0.40275
980.9182	0.40384
982.2475	0.40458
983.577	0.40471
984.9067	0.40504
986.2366	0.40595
987.5668	0.40709
988.8971	0.40713
990.2276	0.40549
991.5583	0.40343
992.8893	0.40219
994.2205	0.40166
995.5518	0.40068
996.8834	0.40099
998.2151	0.40296
999.5471	0.40277
1000.879	0.40152
1002.212	0.40155
1003.544	0.40106
1004.877	0.40055
1006.21	0.40052
1007.543	0.39951
1008.877	0.39896
1010.21	0.3997
1011.544	0.39984
1012.878	0.40002
1014.212	0.40169
1015.547	0.40331
1016.881	0.40485
1018.216	0.40729
1019.551	0.40974
1020.887	0.41291
1022.222	0.4174
1023.558	0.42218
1024.894	0.42655
1026.23	0.42986
1027.566	0.43188
1028.902	0.43368
1030.239	0.43591
1031.576	0.43772
1032.913	0.43839
1034.25	0.43827
1035.588	0.43797
1036.926	0.4367
1038.264	0.43453
1039.602	0.43288
1040.94	0.43162
1042.279	0.43029
1043.617	0.42857
1044.956	0.42632
1046.295	0.42394
1047.635	0.42243
1048.974	0.42195
1050.314	0.42205
1051.654	0.42213
1052.994	0.42088
1054.335	0.41927
1055.675	0.41847
1057.016	0.41795
1058.357	0.41709
1059.698	0.41545
1061.04	0.4147
1062.381	0.41535
1063.723	0.41588
1065.065	0.41592
1066.407	0.41456
1067.75	0.41312
1069.092	0.41317
1070.435	0.41242
1071.778	0.41062
1073.121	0.40997
1074.465	0.41003
1075.809	0.40937
1077.152	0.40852
1078.496	0.40818
1079.841	0.40791
1081.185	0.40771
1082.53	0.4079
1083.875	0.40855
1085.22	0.40935
1086.565	0.40979
1087.911	0.41008
1089.256	0.41126
1090.602	0.41322
1091.948	0.41506
1093.295	0.41692
1094.641	0.41955
1095.988	0.42262
1097.335	0.42517
1098.682	0.4284
1100.029	0.43226
1101.377	0.43564
1102.725	0.43984
1104.073	0.44514
1105.421	0.45079
1106.769	0.45633
1108.118	0.46189
1109.467	0.468
1110.816	0.4747
1112.165	0.48236
1113.514	0.48969
1114.864	0.49543
1116.214	0.50158
1117.564	0.50905
1118.914	0.51591
1120.264	0.52106
1121.615	0.52541
1122.966	0.53046
1124.317	0.53614
1125.668	0.5418
1127.02	0.54631
1128.371	0.54884
1129.723	0.55122
1131.075	0.55386
1132.427	0.55571
1133.78	0.55814
1135.133	0.56181
1136.485	0.5635
1137.839	0.56356
1139.192	0.56518
1140.545	0.56753
1141.899	0.56933
1143.253	0.56962
1144.607	0.57076
1145.961	0.57367
1147.316	0.57533
1148.671	0.57701
1150.026	0.5792
1151.381	0.58018
1152.736	0.57891
1154.092	0.57694
1155.447	0.57594
1156.803	0.57417
1158.159	0.5719
1159.516	0.57149
1160.872	0.57025
1162.229	0.56637
1163.586	0.56352
1164.943	0.56217
1166.301	0.55999
1167.658	0.55715
1169.016	0.55486
1170.374	0.55222
1171.732	0.54882
1173.091	0.54496
1174.449	0.54137
1175.808	0.53941
1177.167	0.53656
1178.526	0.53127
1179.886	0.52688
1181.246	0.52478
1182.605	0.52266
1183.966	0.51922
1185.326	0.51519
1186.686	0.51082
1188.047	0.50592
1189.408	0.50156
1190.769	0.49817
1192.13	0.49378
1193.492	0.48818
1194.853	0.48341
1196.215	0.48061
1197.577	0.47817
1198.94	0.4751
1200.302	0.47238
1201.665	0.4682
1203.028	0.4628
1204.391	0.45802
1205.754	0.45401
1207.118	0.45141
1208.482	0.44872
1209.846	0.44529
1211.21	0.44174
1212.574	0.43852
1213.939	0.43675
1215.304	0.43441
1216.669	0.43017
1218.034	0.42651
1219.399	0.42422
1220.765	0.42156
1222.13	0.41858
1223.496	0.41651
1224.863	0.41457
1226.229	0.41175
1227.596	0.4082
1228.963	0.40547
1230.33	0.40379
1231.697	0.40101
1233.064	0.3992
1234.432	0.3993
1235.8	0.39856
1237.168	0.39736
1238.536	0.39655
1239.905	0.39594
1241.273	0.39452
1242.642	0.39229
1244.011	0.39145
1245.38	0.3922
1246.75	0.39312
1248.12	0.39483
1249.49	0.39777
1250.86	0.39828
1252.23	0.39654
1253.6	0.39687
1254.971	0.39851
1256.342	0.39996
1257.713	0.40131
1259.085	0.40189
1260.456	0.4022
1261.828	0.40302
1263.2	0.40384
1264.572	0.40486
1265.944	0.40461
1267.317	0.40332
1268.69	0.40446
1270.063	0.40642
1271.436	0.40687
1272.809	0.4065
1274.183	0.40628
1275.557	0.40644
1276.931	0.40676
1278.305	0.40769
1279.679	0.4079
1281.054	0.40737
1282.429	0.40882
1283.804	0.41009
1285.179	0.40855
1286.554	0.40719
1287.93	0.40682
1289.306	0.40676
1290.682	0.40698
1292.058	0.40566
1293.435	0.40425
1294.811	0.4047
1296.188	0.40392
1297.565	0.40234
1298.943	0.40331
1300.32	0.40328
1301.698	0.40011
1303.076	0.39863
1304.454	0.39943
1305.832	0.39929
1307.211	0.39755
1308.589	0.39454
1309.968	0.39326
1311.347	0.39559
1312.727	0.39729
1314.106	0.39606
1315.486	0.39575
1316.866	0.39736
1318.246	0.3984
1319.626	0.40092
1321.007	0.40604
1322.388	0.41007
1323.769	0.41257
1325.15	0.41405
1326.531	0.41443
1327.913	0.41881
1329.295	0.42773
1330.677	0.43571
1332.059	0.44302
1333.441	0.45354
1334.824	0.46606
1336.207	0.47921
1337.59	0.49511
1338.973	0.51898
1340.356	0.55133
1341.74	0.58433
1343.124	0.62438
1344.508	0.68207
1345.892	0.75906
1347.277	0.87992
1348.661	1.09961
1350.046	1.51008
1351.431	5
1352.817	5
1354.202	5
1355.588	5
1356.974	5
1358.36	5
1359.746	5
1361.132	5
1362.519	5
1363.906	0
1365.293	0
1366.681	0
1368.068	0
1369.456	0
1370.844	0
1372.232	0
1373.62	0
1375.009	0
1376.398	0
1377.787	0
1379.176	0
1380.565	0
1381.955	0
1383.344	0
1384.734	0
1386.125	0
1387.515	0
1388.906	0
1390.297	0
1391.687	0
1393.079	0
1394.47	0
1395.862	0
1397.254	0
1398.646	0
1400.038	0
