WAVENUMBER	INTENSITY	A1	A2	B
1/cm	Counts/s	SC+M Total Fit	SC lorentzian	M BWF
				
	5 pts SG smooth of INTENSITY"Counts/s"			
-54.31772	-125.23487	4.13896	0.00453	4.13442
-52.81949	-126.27458	4.13921	0.00454	4.13467
-51.32165	-132.23015	4.13947	0.00455	4.13492
-49.82419	-132.10061	4.13973	0.00456	4.13517
-48.32713	-117.88344	4.13998	0.00457	4.13542
-46.83045	-101.65108	4.14024	0.00458	4.13566
-45.33415	-106.3837	4.1405	0.00458	4.13591
-43.83825	-128.80228	4.14076	0.00459	4.13616
-42.34273	-151.59476	4.14102	0.0046	4.13641
-40.84759	-162.30545	4.14127	0.00461	4.13666
-39.35284	-167.56934	4.14153	0.00462	4.13692
-37.85848	-167.34868	4.14179	0.00463	4.13717
-36.36451	-165.33739	4.14205	0.00464	4.13742
-34.87092	-159.81194	4.14232	0.00464	4.13767
-33.37771	-158.70149	4.14258	0.00465	4.13792
-31.8849	-168.94588	4.14284	0.00466	4.13818
-30.39247	-203.0587	4.1431	0.00467	4.13843
-28.90042	-255.80848	4.14336	0.00468	4.13869
-27.40876	-294.86334	4.14363	0.00469	4.13894
-25.91748	-276.84287	4.14389	0.0047	4.1392
-24.42659	-192.29845	4.14415	0.0047	4.13945
-22.93609	-94.60627	4.14442	0.00471	4.13971
-21.44597	-39.58553	4.14468	0.00472	4.13996
-19.95623	-34.431	4.14495	0.00473	4.14022
-18.46688	-42.37447	4.14522	0.00474	4.14048
-16.97792	-45.23509	4.14548	0.00475	4.14073
-15.48933	-43.96099	4.14575	0.00476	4.14099
-14.00114	-44.07102	4.14602	0.00477	4.14125
-12.51332	-44.07102	4.14628	0.00477	4.14151
-11.0259	-44.07102	4.14655	0.00478	4.14177
-9.53885	-44.07102	4.14682	0.00479	4.14203
-8.05219	-44.07102	4.14709	0.0048	4.14229
-6.56592	-44.07102	4.14736	0.00481	4.14255
-5.08002	-44.07102	4.14763	0.00482	4.14281
-3.59452	-44.07102	4.1479	0.00483	4.14307
-2.10939	-44.07102	4.14817	0.00484	4.14333
-0.62465	-44.07102	4.14844	0.00485	4.14359
0.85971	-44.07102	4.14871	0.00486	4.14386
2.34368	-44.07102	4.14898	0.00486	4.14412
3.82728	-44.07102	4.14926	0.00487	4.14438
5.31049	-44.07102	4.14953	0.00488	4.14465
6.79331	-44.07102	4.1498	0.00489	4.14491
8.27575	-44.07102	4.15008	0.0049	4.14518
9.75782	-44.07102	4.15035	0.00491	4.14544
11.23949	-44.07102	4.15063	0.00492	4.14571
12.72079	-44.07102	4.1509	0.00493	4.14597
14.2017	-44.07102	4.15118	0.00494	4.14624
15.68223	-44.07102	4.15146	0.00495	4.14651
17.16238	-44.07102	4.15173	0.00496	4.14678
18.64215	-44.07102	4.15201	0.00497	4.14704
20.12153	-44.07102	4.15229	0.00498	4.14731
