LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
636	11340.38471	5.27476E-6	23420.4666	0.01446	881.8043	6.78357E-14	1.77933E-13
	11323.51253	4.94199E-6	21975.65811	0.01357	883.1182	6.33672E-14	1.67352E-13
	11306.68664	4.69876E-6	20925.17268	0.01292	884.4324	6.00695E-14	1.59909E-13
	11289.90941	5.04993E-6	22522.46139	0.0139	885.7467	6.43675E-14	1.73357E-13
	11273.17808	5.32707E-6	23793.72752	0.01469	887.0613	6.76988E-14	1.85186E-13
	11256.495	5.2876E-6	23652.4534	0.0146	888.376	6.69985E-14	1.83861E-13
	11239.85743	5.38406E-6	24119.60703	0.01489	889.691	6.80193E-14	1.85517E-13
	11223.26646	5.21885E-6	23414.05326	0.01445	891.0062	6.57376E-14	1.795E-13
	11206.72314	4.6336E-6	20819.04791	0.01285	892.3215	5.81937E-14	1.59799E-13
	11190.22476	4.20675E-6	18929.03613	0.01169	893.6371	5.26774E-14	1.45594E-13
	11173.77239	4.02261E-6	18127.13656	0.01119	894.9529	5.02236E-14	1.3987E-13
	11157.36583	3.69012E-6	16653.25608	0.01028	896.2689	4.59371E-14	1.28222E-13
	11141.00614	3.13321E-6	14160.72809	0.00874	897.585	3.889E-14	1.08288E-13
	11124.69065	3.27403E-6	14818.86204	0.00915	898.9014	4.05189E-14	1.12963E-13
	11108.4204	4.14879E-6	18805.71817	0.01161	900.218	5.11948E-14	1.43576E-13
	11092.19399	4.29546E-6	19499.01013	0.01204	901.5349	5.28499E-14	1.48867E-13
	11076.01491	3.49574E-6	15891.93013	0.00981	902.8518	4.28851E-14	1.21222E-13
	11059.87807	3.18611E-6	14505.46141	0.00895	904.1691	3.89728E-14	1.10646E-13
	11043.78696	3.4674E-6	15809.06642	0.00976	905.4865	4.22902E-14	1.20426E-13
	11027.74017	3.46036E-6	15799.96452	0.00975	906.8041	4.20819E-14	1.20022E-13
	11011.73752	3.6976E-6	16907.69695	0.01044	908.1219	4.48365E-14	1.27818E-13
	10995.77883	3.88873E-6	17807.50064	0.01099	909.4399	4.70176E-14	1.34278E-13
	10979.86271	3.47373E-6	15930.14147	0.00983	910.7582	4.18784E-14	1.20155E-13
	10963.9914	3.39825E-6	15606.57258	0.00963	912.0766	4.08501E-14	1.17709E-13
	10948.16231	3.85808E-6	17743.9481	0.01095	913.3953	4.62438E-14	1.33895E-13
	10932.37767	4.13887E-6	19062.83114	0.01177	914.7141	4.94664E-14	1.43586E-13
	10916.6349	4.07923E-6	18815.27023	0.01162	916.0332	4.86134E-14	1.41443E-13
	10900.93503	3.97379E-6	18355.32386	0.01133	917.3525	4.72207E-14	1.37902E-13
	10885.27906	4.11515E-6	19035.62742	0.01175	918.6719	4.87602E-14	1.42516E-13
	10869.66446	4.33691E-6	20090.23048	0.0124	919.9916	5.12404E-14	1.49483E-13
	10854.09224	4.29953E-6	19945.65404	0.01231	921.3115	5.06533E-14	1.47497E-13
	10838.56339	4.24498E-6	19720.80555	0.01217	922.6315	4.98677E-14	1.45293E-13
	10823.0754	4.45075E-6	20706.33176	0.01278	923.9518	5.21356E-14	1.51906E-13
	10807.62928	4.6419E-6	21626.48512	0.01335	925.2723	5.42196E-14	1.57609E-13
	10792.22485	4.62104E-6	21560.03054	0.01331	926.593	5.38222E-14	1.56442E-13
	10776.86195	4.43827E-6	20736.84183	0.0128	927.9139	5.15465E-14	1.49775E-13
	10761.54041	4.22579E-6	19772.18832	0.01221	929.235	4.89392E-14	1.41757E-13
	10746.26006	4.26746E-6	19995.54338	0.01234	930.5563	4.92816E-14	1.42538E-13
	10731.01959	4.35852E-6	20451.21109	0.01263	931.8779	5.01905E-14	1.4505E-13
	10715.82114	4.2958E-6	20185.47824	0.01246	933.1996	4.93281E-14	1.42421E-13
	10700.66339	4.47075E-6	21037.30552	0.01299	934.5215	5.11919E-14	1.47788E-13
	10685.54617	4.61887E-6	21765.03233	0.01344	935.8436	5.27386E-14	1.52029E-13
	10670.4682	4.31659E-6	20369.39743	0.01257	937.166	4.91482E-14	1.41357E-13
	10655.43158	4.45719E-6	21062.56029	0.013	938.4885	5.06062E-14	1.45022E-13
	10640.43388	5.33037E-6	25224.2947	0.01557	939.8113	6.03499E-14	1.7222E-13
	10625.47722	5.95162E-6	28203.78031	0.01741	941.1342	6.71942E-14	1.91409E-13
	10610.55916	6.1082E-6	28986.47759	0.01789	942.4574	6.87685E-14	1.95579E-13
	10595.68069	6.12368E-6	29100.77553	0.01797	943.7808	6.87496E-14	1.94844E-13
	10580.84277	6.23831E-6	29687.06165	0.01833	945.1043	6.98405E-14	1.97165E-13
	10566.043	6.90598E-6	32910.43929	0.02032	946.4281	7.70992E-14	2.16919E-13
	10551.28234	8.07948E-6	38556.6219	0.0238	947.7521	8.99485E-14	2.51775E-13
	10536.56176	9.37077E-6	44781.36626	0.02765	949.0762	1.04034E-13	2.89258E-13
	10521.87888	1.0819E-5	51774.2801	0.03196	950.4006	1.19777E-13	3.31046E-13
	10507.23465	1.23593E-5	59227.87374	0.03656	951.7252	1.36449E-13	3.7501E-13
	10492.62893	1.39937E-5	67153.39162	0.04146	953.05	1.54064E-13	4.20991E-13
	10478.06046	1.60474E-5	77116.19884	0.04761	954.3751	1.76184E-13	4.79586E-13
	10463.5313	1.84296E-5	88686.76167	0.05475	955.7003	2.01778E-13	5.47122E-13
	10449.04128	2.09885E-5	101140.53438	0.06244	957.0256	2.29157E-13	6.17553E-13
	10434.58698	2.36075E-5	113918.61642	0.07033	958.3513	2.57039E-13	6.89137E-13
	10420.17153	2.57684E-5	124518.33505	0.07687	959.6771	2.79793E-13	7.46279E-13
	10405.7937	2.75016E-5	133077.05588	0.08215	961.0031	2.97789E-13	7.91073E-13
	10391.45332	2.90466E-5	140747.38227	0.08689	962.3293	3.13652E-13	8.31293E-13
	10377.14919	3.00692E-5	145903.1842	0.09007	963.6558	3.23801E-13	8.54647E-13
	10362.8833	3.07636E-5	149477.92318	0.09228	964.9824	3.30368E-13	8.68373E-13
	10348.65338	3.14178E-5	152866.78963	0.09437	966.3093	3.36468E-13	8.8118E-13
	10334.46034	3.17594E-5	154741.13855	0.09553	967.6364	3.39194E-13	8.84672E-13
	10320.30512	3.20022E-5	156137.63354	0.09639	968.9636	3.40851E-13	8.84496E-13
	10306.18543	3.26695E-5	159611.91449	0.09854	970.2911	3.47007E-13	8.92945E-13
	10292.10327	3.36073E-5	164418.16758	0.1015	971.6187	3.55993E-13	9.08158E-13
	10278.05637	3.4892E-5	170937.01438	0.10553	972.9466	3.68594E-13	9.35185E-13
	10264.04565	3.69902E-5	181463.37548	0.11203	974.2747	3.89694E-13	9.83661E-13
	10250.07098	3.909E-5	192025.87447	0.11855	975.603	4.10695E-13	1.03175E-12
	10236.13222	4.05266E-5	199354.09397	0.12307	976.9315	4.24631E-13	1.0627E-12
	10222.23026	4.21865E-5	207801.59592	0.12828	978.2601	4.40824E-13	1.09839E-12
	10208.36185	4.40761E-5	217404.36584	0.13421	979.5891	4.5932E-13	1.14045E-12
	10194.52998	4.55219E-5	224840.13777	0.1388	980.9182	4.73102E-13	1.17149E-12
	10180.73347	4.67269E-5	231104.46945	0.14267	982.2475	4.84312E-13	1.19708E-12
	10166.97218	4.70963E-5	233247.15963	0.14399	983.577	4.86822E-13	1.20291E-12
	10153.24599	4.64203E-5	230209.72597	0.14212	984.9067	4.78539E-13	1.18146E-12
	10139.55475	4.59353E-5	228112.35027	0.14082	986.2366	4.72264E-13	1.16335E-12
	10125.89731	4.56446E-5	226974.42669	0.14012	987.5668	4.68012E-13	1.14965E-12
	10112.27558	4.50528E-5	224333.46796	0.13849	988.8971	4.60702E-13	1.13158E-12
	10098.68842	4.44592E-5	221675.29174	0.13685	990.2276	4.5341E-13	1.11818E-12
	10085.13569	4.32335E-5	215853.42442	0.13326	991.5583	4.39727E-13	1.08998E-12
	10071.61624	4.11837E-5	205895.32137	0.12711	992.8893	4.17757E-13	1.03871E-12
	10058.13097	3.98078E-5	199283.42329	0.12303	994.2205	4.02719E-13	1.00264E-12
	10044.68075	3.93464E-5	197237.39971	0.12176	995.5518	3.96988E-13	9.90773E-13
	10031.26344	3.86943E-5	194228.03691	0.11991	996.8834	3.89366E-13	9.71007E-13
	10017.88092	3.78989E-5	190489.47121	0.1176	998.2151	3.80345E-13	9.43884E-13
	10004.53105	3.71839E-5	187145.19558	0.11553	999.5471	3.72176E-13	9.24033E-13
	9991.21772	3.63344E-5	183113.73225	0.11304	1000.879	3.62707E-13	9.03336E-13
	9977.92882	3.61077E-5	182213.45719	0.11249	1002.212	3.59485E-13	8.9524E-13
	9964.68516	3.66638E-5	185265.64146	0.11437	1003.544	3.64053E-13	9.07725E-13
	9951.4667	3.73287E-5	188875.78057	0.1166	1004.877	3.69672E-13	9.22907E-13
	9938.28326	3.82478E-5	193782.97636	0.11963	1006.21	3.77771E-13	9.43206E-13
	9925.13471	3.92546E-5	199147.64114	0.12294	1007.543	3.86691E-13	9.67917E-13
	9912.01108	4.02689E-5	204563.61705	0.12629	1008.877	3.95633E-13	9.91655E-13
	9898.93191	4.19449E-5	213359.24984	0.13172	1010.21	4.11013E-13	1.02832E-12
	9885.87743	4.45285E-5	226800.5302	0.14001	1011.544	4.3518E-13	1.0884E-12
	9872.85734	4.82367E-5	246011.76076	0.15187	1012.878	4.7018E-13	1.17538E-12
	9859.87151	5.31045E-5	271194.57486	0.16742	1014.212	5.16267E-13	1.28523E-12
	9846.91009	5.81806E-5	297508.21127	0.18366	1015.547	5.64129E-13	1.39874E-12
	9833.99237	6.34758E-5	325011.54982	0.20064	1016.881	6.13858E-13	1.51625E-12
	9821.09886	7.08383E-5	363185.76492	0.22421	1018.216	6.83264E-13	1.6776E-12
	9808.23912	8.0641E-5	413986.02883	0.25557	1019.551	7.75779E-13	1.89334E-12
	9795.40341	9.21669E-5	473776.41685	0.29248	1020.887	8.84341E-13	2.1417E-12
