A	B
900	0.15305
898	0.15684
896	0.16122
894	0.16628
892	0.17208
890	0.17861
888	0.18561
886	0.19252
884	0.19863
882	0.20341
880	0.20658
878	0.20785
876	0.20672
874	0.20277
872	0.19626
870	0.18824
868	0.17992
866	0.17221
864	0.16554
862	0.16001
860	0.15552
858	0.15193
856	0.14908
854	0.14683
852	0.14506
850	0.14365
848	0.14247
846	0.14143
844	0.14045
842	0.13952
840	0.13869
838	0.13796
836	0.13734
834	0.13684
832	0.13644
830	0.13612
828	0.13587
826	0.13568
824	0.13554
822	0.13545
820	0.1354
818	0.13539
816	0.13541
814	0.13545
812	0.13551
810	0.13558
808	0.13567
806	0.13578
804	0.13592
802	0.13607
800	0.13625
798	0.13645
796	0.13666
794	0.1369
792	0.13716
790	0.13743
788	0.13773
786	0.13805
784	0.1384
782	0.13876
780	0.13916
778	0.13958
776	0.14004
774	0.14053
772	0.14106
770	0.14164
768	0.14227
766	0.14297
764	0.14375
762	0.14462
760	0.14562
758	0.14678
756	0.14813
754	0.14975
752	0.1517
750	0.15404
748	0.15675
746	0.15963
744	0.16215
742	0.16367
740	0.16391
738	0.1633
736	0.16246
734	0.16183
732	0.16155
730	0.16157
728	0.1618
726	0.16219
724	0.16274
722	0.16347
720	0.16441
718	0.16557
716	0.16693
714	0.16852
712	0.17031
710	0.17232
708	0.17456
706	0.17703
704	0.17976
702	0.18277
700	0.18608
698	0.18973
696	0.19375
694	0.19821
692	0.20315
690	0.20866
688	0.2148
686	0.22169
684	0.22944
682	0.23817
680	0.24805
678	0.25926
676	0.27202
674	0.28658
672	0.30321
670	0.32223
668	0.34396
666	0.36871
664	0.39669
662	0.42795
660	0.46219
658	0.49855
656	0.53541
654	0.57016
652	0.59936
650	0.61926
648	0.62682
646	0.62074
644	0.60205
642	0.57372
640	0.53963
638	0.50348
636	0.46811
634	0.43535
632	0.40612
630	0.38073
628	0.35913
626	0.34104
624	0.32612
622	0.31399
620	0.30433
618	0.29684
616	0.29124
614	0.28733
612	0.28491
610	0.28383
608	0.28394
606	0.2851
604	0.28717
602	0.29
600	0.29338
598	0.29709
596	0.30085
594	0.30434
592	0.30729
590	0.30947
588	0.31078
586	0.31117
584	0.31066
582	0.30931
580	0.3072
578	0.30451
576	0.30146
574	0.29831
572	0.29523
570	0.29217
568	0.28853
566	0.28361
564	0.27747
562	0.27106
560	0.26524
558	0.26041
556	0.25665
554	0.25391
552	0.25216
550	0.25132
548	0.25136
546	0.2522
544	0.2538
542	0.2561
540	0.25904
538	0.26259
536	0.26678
534	0.27174
532	0.2777
530	0.28502
528	0.29424
526	0.30614
524	0.32182
522	0.34273
520	0.37065
518	0.40744
516	0.45386
514	0.50686
512	0.5554
510	0.58071
508	0.56919
506	0.5271
504	0.47386
502	0.42491
500	0.38633
498	0.35844
496	0.33951
494	0.32764
492	0.32128
490	0.31933
488	0.32108
486	0.3259
484	0.33273
482	0.33945
480	0.3431
478	0.34185
476	0.33667
474	0.32977
472	0.32239
470	0.31455
468	0.30578
466	0.29587
464	0.285
462	0.27372
460	0.2627
458	0.25251
456	0.24354
454	0.236
452	0.22993
450	0.22993
