WAVELENGTH	ABS
nm	Abs
425.95839	0.51942
426.1242	0.51904
426.29001	0.51859
426.45581	0.5169
426.62161	0.51536
426.7874	0.51539
426.95318	0.51661
427.11896	0.51948
427.28473	0.52136
427.45049	0.52066
427.61625	0.51824
427.782	0.51744
427.94775	0.51921
428.11349	0.51874
428.27922	0.51691
428.44494	0.51702
428.61066	0.5181
428.77638	0.51805
428.94208	0.51783
429.10778	0.51856
429.27348	0.51759
429.43916	0.51588
429.60484	0.51587
429.77052	0.51647
429.93619	0.51806
430.10185	0.51822
430.2675	0.51667
430.43315	0.5177
430.59879	0.51887
430.76443	0.51944
430.93006	0.52066
431.09568	0.52165
431.2613	0.52239
431.42691	0.52238
431.59251	0.52151
431.75811	0.52011
431.9237	0.51944
432.08928	0.51909
432.25486	0.51768
432.42043	0.51757
432.58599	0.51874
432.75155	0.51733
432.9171	0.5167
433.08265	0.5177
433.24819	0.51663
433.41372	0.51678
433.57925	0.51849
433.74477	0.51837
433.91028	0.51745
434.07579	0.51745
434.24129	0.51705
434.40678	0.51615
434.57227	0.51651
434.73775	0.51789
434.90322	0.51833
435.06869	0.5172
435.23415	0.51647
435.39961	0.51744
435.56505	0.51759
435.7305	0.51655
435.89593	0.51743
436.06136	0.51839
436.22678	0.51759
436.3922	0.51731
436.55761	0.51815
436.72301	0.51916
436.88841	0.51935
437.0538	0.51823
437.21918	0.51835
437.38456	0.51991
437.54993	0.51933
437.71529	0.51803
437.88065	0.51858
438.046	0.51901
438.21135	0.51855
438.37668	0.51777
438.54202	0.51699
438.70734	0.51705
438.87266	0.51757
439.03797	0.51821
439.20328	0.5182
439.36858	0.51772
439.53387	0.51813
439.69916	0.5183
439.86443	0.51803
440.02971	0.51883
440.19497	0.51984
440.36023	0.52007
440.52549	0.51958
440.69073	0.51877
440.85597	0.51872
441.02121	0.51968
441.18644	0.52104
441.35166	0.52196
441.51687	0.52193
441.68208	0.52098
441.84728	0.52045
442.01247	0.52113
442.17766	0.52099
442.34284	0.51998
442.50802	0.52193
442.67319	0.52374
442.83835	0.5212
443.00351	0.51937
443.16865	0.51942
443.3338	0.52019
443.49893	0.52151
443.66406	0.52177
443.82919	0.52176
443.9943	0.52166
444.15941	0.5222
444.32451	0.52281
444.48961	0.52146
444.6547	0.52164
444.81978	0.52359
444.98486	0.52351
445.14993	0.52337
445.315	0.52383
445.48005	0.52337
445.6451	0.52324
445.81015	0.52313
445.97519	0.52255
446.14022	0.52269
446.30524	0.52286
446.47026	0.52292
446.63527	0.52305
446.80027	0.52293
446.96527	0.52388
447.13026	0.52491
447.29525	0.52422
447.46023	0.52304
447.6252	0.52349
447.79017	0.52513
447.95512	0.52539
448.12008	0.52493
448.28502	0.5258
448.44996	0.52711
448.61489	0.52748
448.77982	0.52702
448.94474	0.52714
449.10965	0.52793
449.27456	0.52835
449.43946	0.52796
449.60435	0.52717
449.76924	0.52721
449.93411	0.52803
450.09899	0.52816
450.26385	0.52783
450.42871	0.52815
450.59357	0.52818
450.75841	0.52797
450.92325	0.52865
451.08809	0.52955
451.25291	0.5298
451.41773	0.52971
451.58255	0.52988
451.74736	0.53015
451.91216	0.53011
452.07695	0.53038
452.24174	0.53054
452.40652	0.53063
452.57129	0.53109
452.73606	0.53255
452.90082	0.53453
453.06557	0.53339
453.23032	0.53108
453.39506	0.53094
453.5598	0.53127
453.72452	0.53115
453.88924	0.53159
454.05396	0.53221
454.21867	0.53218
454.38337	0.53196
454.54806	0.53186
454.71275	0.53257
454.87743	0.53284
455.04211	0.53176
455.20677	0.53208
455.37143	0.5331
455.53609	0.5331
455.70074	0.53239
455.86538	0.5315
456.03001	0.53173
456.19464	0.5327
456.35926	0.53326
456.52388	0.53289
456.68849	0.53216
456.85309	0.532
457.01768	0.53231
457.18227	0.53266
457.34685	0.53325
457.51143	0.5329
457.67599	0.53099
457.84056	0.5302
458.00511	0.53119
458.16966	0.53332
458.3342	0.53454
458.49873	0.5328
458.66326	0.5312
458.82778	0.53114
458.9923	0.53106
459.15681	0.53077
459.32131	0.5306
459.4858	0.53051
459.65029	0.5302
459.81477	0.52976
459.97925	0.52954
460.14372	0.52993
460.30818	0.53012
460.47263	0.52928
460.63708	0.52928
460.80152	0.52973
460.96596	0.52892
461.13038	0.52773
461.2948	0.52742
461.45922	0.52792
461.62363	0.52817
461.78803	0.52789
461.95242	0.5268
462.11681	0.52598
462.28119	0.52643
462.44557	0.5266
462.60993	0.52598
462.77429	0.52572
462.93865	0.52567
463.103	0.52551
463.26734	0.52585
463.43167	0.52599
463.596	0.52499
463.76032	0.52448
463.92463	0.52431
464.08894	0.52354
