LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
532	11340.38471	1.83206E-6	8134.55347	0.00502	881.8043	2.35611E-14	6.18007E-14
	11323.51253	2.00252E-6	8904.64433	0.0055	883.1182	2.56767E-14	6.78117E-14
	11306.68664	2.30045E-6	10244.68971	0.00632	884.4324	2.94093E-14	7.82895E-14
	11289.90941	2.33243E-6	10402.52228	0.00642	885.7467	2.97296E-14	8.0069E-14
	11273.17808	2.51159E-6	11218.17667	0.00693	887.0613	3.19184E-14	8.7311E-14
	11256.495	2.67107E-6	11948.19471	0.00738	888.376	3.38447E-14	9.28786E-14
	11239.85743	2.32084E-6	10396.9144	0.00642	889.691	2.93201E-14	7.99685E-14
	11223.26646	2.23406E-6	10022.97498	0.00619	891.0062	2.81406E-14	7.68397E-14
	11206.72314	2.29498E-6	10311.50091	0.00637	892.3215	2.88229E-14	7.91473E-14
	11190.22476	2.07444E-6	9334.30846	0.00576	893.6371	2.59763E-14	7.17955E-14
	11173.77239	2.12459E-6	9574.07558	0.00591	894.9529	2.65262E-14	7.38741E-14
	11157.36583	2.13478E-6	9634.14293	0.00595	896.2689	2.65752E-14	7.41782E-14
	11141.00614	1.78167E-6	8052.38009	0.00497	897.585	2.21145E-14	6.15769E-14
	11124.69065	1.57733E-6	7139.31167	0.00441	898.9014	1.95209E-14	5.44222E-14
	11108.4204	1.62602E-6	7370.45653	0.00455	900.218	2.00646E-14	5.62711E-14
	11092.19399	1.68129E-6	7632.11853	0.00471	901.5349	2.0686E-14	5.82679E-14
	11076.01491	1.46451E-6	6657.76159	0.00411	902.8518	1.79663E-14	5.07849E-14
	11059.87807	1.24997E-6	5690.77218	0.00351	904.1691	1.52898E-14	4.34084E-14
	11043.78696	1.37511E-6	6269.6242	0.00387	905.4865	1.67716E-14	4.77591E-14
	11027.74017	1.51041E-6	6896.52386	0.00426	906.8041	1.83683E-14	5.23884E-14
	11011.73752	1.54655E-6	7071.80189	0.00437	908.1219	1.87533E-14	5.34609E-14
	10995.77883	1.46785E-6	6721.66122	0.00415	909.4399	1.77474E-14	5.0685E-14
	10979.86271	1.31738E-6	6041.37735	0.00373	910.7582	1.5882E-14	4.55677E-14
