A	B
400	0.48949
401	0.49026
402	0.49103
403	0.49181
404	0.49258
405	0.49335
406	0.49412
407	0.49489
408	0.49566
409	0.49644
410	0.49721
411	0.49798
412	0.49875
413	0.49952
414	0.5003
415	0.50107
416	0.50184
417	0.50261
418	0.50338
419	0.50415
420	0.50493
421	0.5057
422	0.50647
423	0.50724
424	0.50801
425	0.50878
426	0.50956
427	0.51033
428	0.5111
429	0.51187
430	0.51264
431	0.51342
432	0.51419
433	0.51496
434	0.51573
435	0.5165
436	0.51727
437	0.51805
438	0.51882
439	0.51959
440	0.52036
441	0.52113
442	0.52191
443	0.52268
444	0.52345
445	0.52422
446	0.52499
447	0.52576
448	0.52654
449	0.52731
450	0.52808
451	0.52907
452	0.53026
453	0.53384
454	0.532
455	0.53203
456	0.53169
457	0.53228
458	0.53115
459	0.53104
460	0.52959
461	0.52867
462	0.52656
463	0.52561
464	0.52396
465	0.52168
466	0.52079
467	0.51837
468	0.51623
469	0.51461
470	0.51153
471	0.50904
472	0.50734
473	0.50562
474	0.50412
475	0.50195
476	0.50043
477	0.49878
478	0.49905
479	0.49749
480	0.49553
481	0.4944
482	0.49398
483	0.49362
484	0.4927
485	0.49148
486	0.49147
487	0.4914
488	0.49147
489	0.49149
490	0.49159
491	0.49212
492	0.49172
493	0.49289
494	0.49362
495	0.49496
496	0.49925
497	0.49865
498	0.4992
499	0.5021
500	0.50317
501	0.50503
502	0.50621
503	0.50745
504	0.50968
505	0.51069
506	0.51067
507	0.51028
508	0.50899
509	0.50872
510	0.50683
511	0.5046
512	0.50282
513	0.49958
514	0.49601
515	0.49305
516	0.48938
517	0.48649
518	0.4821
519	0.47894
520	0.47501
521	0.47198
522	0.46702
523	0.46412
524	0.4604
525	0.45799
526	0.45403
527	0.45122
528	0.44862
529	0.44569
530	0.44351
531	0.44111
532	0.43949
533	0.43814
534	0.43646
535	0.43454
536	0.43354
537	0.4323
538	0.43215
539	0.43151
540	0.43078
541	0.4303
542	0.42972
543	0.42975
544	0.43026
545	0.4299
546	0.43064
547	0.43126
548	0.43201
549	0.43298
550	0.43339
551	0.43426
552	0.43504
553	0.43522
554	0.43569
555	0.43624
556	0.43698
557	0.43759
558	0.43788
559	0.4385
560	0.43854
561	0.43861
562	0.43924
563	0.43843
564	0.43877
565	0.43862
566	0.43908
567	0.43852
568	0.43891
569	0.43881
570	0.43837
571	0.43796
572	0.43774
573	0.43708
574	0.43693
575	0.43643
576	0.43628
577	0.4359
578	0.43572
579	0.43566
580	0.43633
581	0.43594
582	0.43676
583	0.43741
584	0.43823
585	0.43908
586	0.44015
587	0.44104
588	0.44175
589	0.4443
590	0.44473
591	0.44481
592	0.44606
593	0.44643
594	0.44649
595	0.44654
596	0.44711
597	0.44656
598	0.44623
599	0.44528
600	0.44507
601	0.44389
602	0.44334
603	0.44321
604	0.44238
605	0.44139
606	0.44094
607	0.44022
608	0.44017
609	0.43959
610	0.43898
611	0.43909
612	0.43885
613	0.43865
614	0.43822
615	0.43756
616	0.43852
617	0.43737
618	0.43726
619	0.4376
620	0.4373
621	0.43774
622	0.43795
623	0.4386
624	0.43971
625	0.43995
626	0.44071
627	0.44171
628	0.44345
629	0.4442
630	0.44677
631	0.44923
632	0.45168
633	0.45411
634	0.45709
635	0.45988
636	0.46348
637	0.46665
638	0.47021
639	0.47394
640	0.4774
641	0.48242
642	0.48649
643	0.49186
644	0.49592
645	0.50006
646	0.50482
647	0.50882
648	0.51179
649	0.5144
650	0.51694
651	0.5182
652	0.51975
653	0.5214
654	0.52119
655	0.52116
656	0.52003
657	0.51881
658	0.51812
659	0.5161
660	0.51539
661	0.51284
662	0.50963
663	0.50614
664	0.50426
665	0.5006
666	0.49784
667	0.49396
668	0.4909
669	0.48655
670	0.48346
671	0.4812
672	0.47655
673	0.4733
674	0.47078
675	0.4675
676	0.4658
677	0.46102
678	0.45799
679	0.45514
680	0.45268
681	0.4493
682	0.44681
683	0.44339
684	0.44139
685	0.43855
686	0.43616
687	0.4333
688	0.4311
689	0.42902
690	0.42689
691	0.42396
692	0.4233
693	0.41962
694	0.41952
695	0.41725
696	0.41367
697	0.41196
698	0.41172
699	0.40935
700	0.40837
701	0.40815
702	0.40582
703	0.40584
704	0.40359
705	0.40415
706	0.40339
707	0.40441
708	0.40341
709	0.40291
