DIAMETER	INTEGRAL	Parameters	IntegralC	ParamCOR
Histogram Axis	Histogram Intensity	Some parameters	Histogram Intensity Corrected	Some parameters
0.624	0	215.81795	0	0.23361
0.672	0.07765	0.826	0.08988	0.833
0.72	0.13844	0.21	0.11575	0.221
0.768	0.17973	0.09	0.15398	0.093
0.816	0.18289	0.135	0.18602	0.14
0.864	0.17258		0.16707	
0.912	0.09662		0.10872	
0.96	0.05318		0.06163	
1.008	0.02183		0.01347	
1.056	0.07138		0.09507	
1.104	0.0057		0.00841	
1.152	0		0	
1.2	0		0	
1.248	0		0	
1.296	0		0	
1.344	0		0	
1.392	0		0	
1.44	0		0	
1.488	0		0	
1.536	0		0	
1.584	0		0	
1.632	0		0	
1.68	0		0	
1.728	0		0	
1.776	0		0	
