A	FIT	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25
11340.38471	0.00195	0.00153	2.37825E-5	9.79318E-6	9.98334E-5	5.00198E-5	6.17763E-5	9.13227E-6	1.83328E-5	1.86438E-5	6.03199E-5	3.29525E-5	2.10344E-5	0	1.37938E-5	0	0	0	0	0	0	0	0	0	0	0
11323.51253	0.00229	0.00186	2.54075E-5	1.01576E-5	1.02807E-4	5.11176E-5	6.3045E-5	9.30031E-6	1.86469E-5	1.89166E-5	6.11469E-5	3.33897E-5	2.12774E-5	0	1.39477E-5	0	0	0	0	0	0	0	0	0	0	0
11306.68664	0.00269	0.00225	2.72097E-5	1.05301E-5	1.05778E-4	5.22521E-5	6.4304E-5	9.47303E-6	1.89544E-5	1.91954E-5	6.19911E-5	3.38151E-5	2.1536E-5	0	1.41042E-5	0	0	0	0	0	0	0	0	0	0	0
11289.90941	0.00311	0.00266	2.92168E-5	1.09371E-5	1.09024E-4	5.34249E-5	6.56011E-5	9.65061E-6	1.92848E-5	1.94805E-5	6.28528E-5	3.42696E-5	2.17877E-5	0	1.42633E-5	0	0	0	0	0	0	0	0	0	0	0
11273.17808	0.00352	0.00306	3.14621E-5	1.13539E-5	1.12272E-4	5.46379E-5	6.69901E-5	9.83324E-6	1.96239E-5	1.97597E-5	6.36939E-5	3.47121E-5	2.20557E-5	0	1.44188E-5	0	0	0	0	0	0	0	0	0	0	0
11256.495	0.00393	0.00346	3.38704E-5	1.18103E-5	1.15668E-4	5.58929E-5	6.83698E-5	1.00158E-5	1.9956E-5	2.00575E-5	6.45915E-5	3.51848E-5	2.23167E-5	0	1.45833E-5	0	0	0	0	0	0	0	0	0	0	0
11239.85743	0.00428	0.0038	3.67092E-5	1.22788E-5	1.19387E-4	5.71224E-5	6.97925E-5	1.0209E-5	2.03131E-5	2.03492E-5	6.54679E-5	3.56451E-5	2.25823E-5	0	1.47506E-5	0	1.28755E-6	0	0	0	0	0	0	0	0	0
11223.26646	0.00457	0.00407	3.99379E-5	1.2776E-5	1.23115E-4	5.8465E-5	7.12601E-5	1.04078E-5	2.06629E-5	2.06605E-5	6.64034E-5	3.61146E-5	2.28651E-5	0	1.49142E-5	0	1.30055E-6	0	0	0	0	0	0	0	0	0
11206.72314	0.00478	0.00427	4.36359E-5	1.33041E-5	1.27022E-4	5.98557E-5	7.27745E-5	1.06067E-5	2.10219E-5	2.09655E-5	6.73171E-5	3.66163E-5	2.31406E-5	0	1.50805E-5	0	1.31374E-6	0	0	0	0	0	0	0	0	0
11190.22476	0.00488	0.00435	4.77061E-5	1.38659E-5	1.31119E-4	6.12198E-5	7.43377E-5	1.08113E-5	2.14082E-5	2.12774E-5	6.82926E-5	3.71051E-5	2.34211E-5	0	1.52565E-5	0	1.32714E-6	0	0	0	0	0	0	0	0	0
11173.77239	0.00487	0.00433	5.26467E-5	1.44643E-5	1.35419E-4	6.27112E-5	7.59517E-5	1.10281E-5	2.17869E-5	2.15963E-5	6.92457E-5	3.76037E-5	2.37067E-5	0	1.54286E-5	0	1.34074E-6	0	0	0	0	0	0	0	0	0
11157.36583	0.00476	0.0042	5.81877E-5	1.51025E-5	1.39935E-4	6.41752E-5	7.75538E-5	1.12451E-5	2.21758E-5	2.19224E-5	7.02188E-5	3.81124E-5	2.39976E-5	0	1.56036E-5	0	1.35456E-6	0	0	0	0	0	0	0	0	0
11141.00614	0.00455	0.00397	6.47346E-5	1.57608E-5	1.44683E-4	6.56915E-5	7.92744E-5	1.14686E-5	2.25752E-5	2.2256E-5	7.12126E-5	3.86315E-5	2.42939E-5	0	1.57816E-5	0	1.36858E-6	0	0	0	0	0	0	0	0	0
11124.69065	0.00427	0.00367	7.29591E-5	1.64885E-5	1.49678E-4	6.73514E-5	8.10529E-5	1.16989E-5	2.29855E-5	2.25972E-5	7.22277E-5	3.91613E-5	2.45958E-5	0	1.59627E-5	0	1.38223E-6	0	0	0	0	0	0	0	0	0
11108.4204	0.00394	0.00332	8.25449E-5	1.72681E-5	1.54938E-4	6.89831E-5	8.282E-5	1.19362E-5	2.34072E-5	2.29464E-5	7.32646E-5	3.9702E-5	2.49033E-5	0	1.6147E-5	0	1.39669E-6	0	0	0	0	0	0	0	0	0
11092.19399	0.00357	0.00293	9.43479E-5	1.8076E-5	1.60224E-4	7.06752E-5	8.47198E-5	1.21737E-5	2.38405E-5	2.33037E-5	7.4324E-5	4.02541E-5	2.52165E-5	0	1.63344E-5	0	1.41138E-6	0	0	0	0	0	0	0	0	0
11076.01491	0.0032	0.00253	1.09092E-4	1.89734E-5	1.6606E-4	7.24307E-5	8.66088E-5	1.24256E-5	2.42861E-5	2.36694E-5	7.54065E-5	4.07905E-5	2.55211E-5	0	1.65251E-5	1.19277E-6	1.42568E-6	0	0	0	0	0	0	0	0	0
11059.87807	0.00285	0.00214	1.28714E-4	1.99066E-5	1.72223E-4	7.4253E-5	8.85618E-5	1.26855E-5	2.47443E-5	2.40439E-5	7.65129E-5	4.13655E-5	2.58462E-5	0	1.67192E-5	1.20586E-6	1.44082E-6	0	0	0	0	0	0	0	0	0
11043.78696	0.00254	0.0018	1.52856E-4	2.09111E-5	1.78434E-4	7.62526E-5	9.06638E-5	1.29458E-5	2.52156E-5	2.44272E-5	7.76437E-5	4.19526E-5	2.61775E-5	0	1.69167E-5	1.21865E-6	1.45557E-6	0	0	0	0	0	0	0	0	0
11027.74017	0.00227	0.00147	1.83942E-4	2.19943E-5	1.85312E-4	7.82231E-5	9.27563E-5	1.32143E-5	2.56771E-5	2.48026E-5	7.87998E-5	4.25235E-5	2.64998E-5	0	1.71097E-5	1.23217E-6	1.4712E-6	0	0	0	0	0	0	0	0	0
11011.73752	0.00204	0.00119	2.21968E-4	2.31649E-5	1.92258E-4	8.02715E-5	9.49221E-5	1.34994E-5	2.61755E-5	2.52044E-5	7.99276E-5	4.31355E-5	2.68438E-5	0	1.73142E-5	1.24591E-6	1.48642E-6	0	0	0	0	0	0	0	0	0
10995.77883	0.00188	9.69353E-4	2.72824E-4	2.44325E-5	1.99606E-4	8.24021E-5	9.71647E-5	1.37854E-5	2.66885E-5	2.55979E-5	8.11353E-5	4.37308E-5	2.71784E-5	0	1.7514E-5	1.25989E-6	1.50187E-6	0	0	0	0	0	0	0	0	0
10979.86271	0.00177	7.74725E-4	3.37439E-4	2.58085E-5	2.0777E-4	8.44938E-5	9.94876E-5	1.40805E-5	2.71914E-5	2.60192E-5	8.23705E-5	4.43692E-5	2.75194E-5	0	1.77258E-5	1.27355E-6	1.51757E-6	0	0	0	0	0	0	0	0	0
10963.9914	0.00172	6.25343E-4	4.18212E-4	2.73056E-5	2.16045E-4	8.67974E-5	1.01895E-4	1.43853E-5	2.77348E-5	2.64321E-5	8.35761E-5	4.49902E-5	2.78835E-5	0	1.79327E-5	1.288E-6	1.53351E-6	0	0	0	0	0	0	0	0	0
