LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
671	11340.38471	1.08791E-5	48304.26783	0.02982	881.8043	1.3991E-13	3.66982E-13
	11323.51253	1.13752E-5	50582.40128	0.03123	883.1182	1.45855E-13	3.85201E-13
	11306.68664	1.20289E-5	53568.73177	0.03307	884.4324	1.53779E-13	4.0937E-13
	11289.90941	1.24553E-5	55550.0689	0.03429	885.7467	1.58758E-13	4.27573E-13
	11273.17808	1.24245E-5	55494.84828	0.03426	887.0613	1.57896E-13	4.31916E-13
	11256.495	1.18547E-5	53028.22021	0.03274	888.376	1.50209E-13	4.12212E-13
	11239.85743	1.08883E-5	48777.62316	0.03011	889.691	1.37557E-13	3.75176E-13
	11223.26646	1.0321E-5	46304.7145	0.02859	891.0062	1.30006E-13	3.54988E-13
	11206.72314	1.0367E-5	46579.38511	0.02876	892.3215	1.30199E-13	3.57526E-13
	11190.22476	1.0483E-5	47170.3898	0.02912	893.6371	1.3127E-13	3.62815E-13
	11173.77239	1.02218E-5	46062.68589	0.02844	894.9529	1.27623E-13	3.55422E-13
	11157.36583	9.65292E-6	43562.99862	0.02689	896.2689	1.20166E-13	3.35414E-13
	11141.00614	9.3002E-6	42032.81876	0.02595	897.585	1.15436E-13	3.21427E-13
	11124.69065	9.2623E-6	41922.9463	0.02588	898.9014	1.14629E-13	3.19574E-13
	11108.4204	9.2604E-6	41975.71889	0.02591	900.218	1.14271E-13	3.20471E-13
	11092.19399	8.98863E-6	40803.44148	0.02519	901.5349	1.10593E-13	3.11517E-13
	11076.01491	8.79874E-6	39999.78612	0.02469	902.8518	1.07941E-13	3.05115E-13
	11059.87807	8.93304E-6	40669.56002	0.02511	904.1691	1.0927E-13	3.10222E-13
	11043.78696	8.99912E-6	41030.13671	0.02533	905.4865	1.09758E-13	3.12549E-13
	11027.74017	9.01038E-6	41141.241	0.0254	906.8041	1.09576E-13	3.12523E-13
	11011.73752	9.0701E-6	41474.09511	0.0256	908.1219	1.09983E-13	3.13533E-13
	10995.77883	9.19457E-6	42104.25337	0.02599	909.4399	1.11169E-13	3.17489E-13
	10979.86271	9.47858E-6	43467.73018	0.02683	910.7582	1.14271E-13	3.2786E-13
	10963.9914	9.95493E-6	45718.33155	0.02822	912.0766	1.19667E-13	3.44819E-13
	10948.16231	1.05631E-5	48581.3404	0.02999	913.3953	1.26611E-13	3.66593E-13
	10932.37767	1.12541E-5	51834.18596	0.032	914.7141	1.34505E-13	3.90429E-13
	10916.6349	1.19262E-5	55009.26287	0.03396	916.0332	1.42129E-13	4.13531E-13
	10900.93503	1.26845E-5	58590.75423	0.03617	917.3525	1.5073E-13	4.40188E-13
	10885.27906	1.35561E-5	62706.91179	0.03871	918.6719	1.60625E-13	4.69473E-13
	10869.66446	1.38079E-5	63963.38099	0.03949	919.9916	1.63139E-13	4.75925E-13
	10854.09224	1.34044E-5	62183.61553	0.03839	921.3115	1.57919E-13	4.59845E-13
	10838.56339	1.33792E-5	62155.23796	0.03837	922.6315	1.57171E-13	4.57928E-13
	10823.0754	1.3981E-5	65044.23265	0.04015	923.9518	1.63772E-13	4.77177E-13
	10807.62928	1.47067E-5	68518.29179	0.0423	925.2723	1.71782E-13	4.99346E-13
	10792.22485	1.52361E-5	71085.72265	0.04388	926.593	1.77458E-13	5.15806E-13
	10776.86195	1.53488E-5	71713.89489	0.04427	927.9139	1.78262E-13	5.17966E-13
	10761.54041	1.53186E-5	71674.64281	0.04425	929.235	1.77406E-13	5.13874E-13
	10746.26006	1.54929E-5	72593.45518	0.04482	930.5563	1.78916E-13	5.17483E-13
	10731.01959	1.573E-5	73808.87275	0.04557	931.8779	1.81139E-13	5.23488E-13
	10715.82114	1.6134E-5	75811.75254	0.0468	933.1996	1.85264E-13	5.34899E-13
	10700.66339	1.68168E-5	79132.43139	0.04885	934.5215	1.9256E-13	5.55908E-13
	10685.54617	1.74328E-5	82146.88756	0.05071	935.8436	1.99049E-13	5.73798E-13
